key,type,item,english,translation,notes
language_title,string,,Language,言語,
language_display_title,string,,Display language,表示言語,
language_display_subtitle,string,,Follows your device by default; choose one to override it,既定ではデバイスの設定に従います。上書きする場合は選択してください,
language_system,string,,System default,システムのデフォルト,
language_selected,string,,Selected,選択済み,
nav_home,string,,Home,ホーム,
nav_rooms,string,,Rooms,部屋,
nav_security,string,,Security,セキュリティ,
nav_energy,string,,Energy,エネルギー,
nav_climate,string,,Climate,空調,
nav_battery,string,,Battery,バッテリー,
nav_settings,string,,Settings,設定,
nav_room_detail,string,,Room Detail,部屋の詳細,
settings_title_connection,string,,Connection,接続,
settings_title_profile,string,,Profile,プロフィール,
settings_title_location,string,,Location,位置情報,
settings_title_notifications,string,,Notifications,通知,
settings_title_appearance,string,,Appearance,外観,
settings_title_header,string,,Header,ヘッダー,
settings_title_theme,string,,Theme,テーマ,
settings_title_fonts,string,,Fonts,フォント,
settings_title_corners,string,,Corners,角丸,
settings_title_icons,string,,Icons,アイコン,
settings_title_nav_bar,string,,Navigation Bar,ナビゲーションバー,
settings_title_media_players,string,,Media Players,メディアプレーヤー,
settings_title_dashboard,string,,Dashboard,ダッシュボード,
settings_title_family_sharing,string,,Family Sharing,ファミリー共有,
settings_title_backup_restore,string,,Backup and Restore,バックアップと復元,
settings_title_account,string,,Account,アカウント,
settings_title_about,string,,About HKI 7,HKI 7について,don't translate HKI 7
settings_title_license,string,,License,ライセンス,
settings_title_support,string,,Support,サポート,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,HKI 7の体験を形作るすべての設定,don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,プロフィールとこのアプリのインストール情報,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,ダッシュボード全体で使用される個人情報,
settings_subtitle_connection,string,,Server routes and local-network preferences,サーバー経路とローカルネットワークの設定,
settings_subtitle_location,string,,Presence updates and background access,在室状況の更新とバックグラウンドアクセス,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups",ダッシュボード、タブ、メディアプレーヤー、ポップアップ,
