key,type,item,english,translation,notes
language_title,string,,Language,Jazyk,
language_display_title,string,,Display language,Jazyk zobrazenia,
language_display_subtitle,string,,Follows your device by default; choose one to override it,"Predvolene sleduje vaše zariadenie; vyberte jeden, ktorý ho prepíše",
language_system,string,,System default,Predvolené nastavenie systému,
language_selected,string,,Selected,Vybrané,
nav_home,string,,Home,Domov,
nav_rooms,string,,Rooms,Izby,
nav_security,string,,Security,Bezpečnosť,
nav_energy,string,,Energy,Energia,
nav_climate,string,,Climate,Klíma,
nav_battery,string,,Battery,Batéria,
nav_settings,string,,Settings,Nastavenia,
nav_room_detail,string,,Room Detail,Detail izby,
settings_title_connection,string,,Connection,Pripojenie,
settings_title_profile,string,,Profile,Profil,
settings_title_location,string,,Location,Poloha,
settings_title_notifications,string,,Notifications,Upozornenia,
settings_title_appearance,string,,Appearance,Vzhľad,
settings_title_header,string,,Header,Hlavička,
settings_title_theme,string,,Theme,Téma,
settings_title_fonts,string,,Fonts,Písma,
settings_title_corners,string,,Corners,Rohy,
settings_title_icons,string,,Icons,ikony,
settings_title_nav_bar,string,,Navigation Bar,Navigačný panel,
settings_title_media_players,string,,Media Players,Prehrávače médií,
settings_title_dashboard,string,,Dashboard,Dashboard,
settings_title_family_sharing,string,,Family Sharing,Rodinné zdieľanie,
settings_title_backup_restore,string,,Backup and Restore,Zálohovanie a obnovenie,
settings_title_account,string,,Account,účtu,
settings_title_about,string,,About HKI 7,O HKI 7,don't translate HKI 7
settings_title_license,string,,License,Licencia,
settings_title_support,string,,Support,Podpora,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,"Všetko, čo formuje váš HKI 7 zážitok",don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,Váš profil a inštalácia tejto aplikácie,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,Osobné údaje používané na vašom informačnom paneli,
settings_subtitle_connection,string,,Server routes and local-network preferences,Serverové trasy a preferencie lokálnej siete,
settings_subtitle_location,string,,Presence updates and background access,Aktualizácie prítomnosti a prístup na pozadí,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","Panely, karty, prehrávače médií a kontextové okná",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,Nechajte palubnú dosku cítiť ako vy,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","Okrúhlosť tlačidiel, kariet a miniaplikácií",
