key,type,item,english,translation,notes
language_title,string,,Language,Idioma,
language_display_title,string,,Display language,Idioma de exibição,
language_display_subtitle,string,,Follows your device by default; choose one to override it,Segue o seu dispositivo por predefinição; escolha um para substituir,
language_system,string,,System default,Predefinição do sistema,
language_selected,string,,Selected,Selecionado,
nav_home,string,,Home,Início,
nav_rooms,string,,Rooms,Divisões,
nav_security,string,,Security,Segurança,
nav_energy,string,,Energy,Energia,
nav_climate,string,,Climate,Clima,
nav_battery,string,,Battery,Bateria,
nav_settings,string,,Settings,Definições,
nav_room_detail,string,,Room Detail,Detalhe da divisão,
settings_title_connection,string,,Connection,Ligação,
settings_title_profile,string,,Profile,Perfil,
settings_title_location,string,,Location,Localização,
settings_title_notifications,string,,Notifications,Notificações,
settings_title_appearance,string,,Appearance,Aparência,
settings_title_header,string,,Header,Cabeçalho,
settings_title_theme,string,,Theme,Tema,
settings_title_fonts,string,,Fonts,Tipos de Letra,
settings_title_corners,string,,Corners,Cantos,
settings_title_icons,string,,Icons,Ícones,
settings_title_nav_bar,string,,Navigation Bar,Barra de Navegação,
settings_title_media_players,string,,Media Players,Leitores Multimédia,
settings_title_dashboard,string,,Dashboard,Painel,
settings_title_family_sharing,string,,Family Sharing,Partilha Familiar,
settings_title_backup_restore,string,,Backup and Restore,Cópia de Segurança e Restauro,
settings_title_account,string,,Account,Conta,
settings_title_about,string,,About HKI 7,Sobre o HKI 7,don't translate HKI 7
settings_title_license,string,,License,Licença,
settings_title_support,string,,Support,Suporte,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,Tudo o que molda a sua experiência HKI 7,don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,O seu perfil e esta instalação da aplicação,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,Dados pessoais utilizados em todo o seu painel,
settings_subtitle_connection,string,,Server routes and local-network preferences,Rotas do servidor e preferências de rede local,
settings_subtitle_location,string,,Presence updates and background access,Atualizações de presença e acesso em segundo plano,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","Painéis, separadores, leitores de multimédia e pop-ups",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,Faça com que o painel pareça seu,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","Arredondamento de botões, cartões e widgets",
settings_subtitle_icons,string,,Icon animations and per-domain effects,Animações de ícones e efeitos por domínio,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,Escolha se o cabeçalho do painel é mostrado,
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","Cor, contraste, modo e estilo dos cantos",
settings_subtitle_fonts,string,,"Size, weight, and typeface readability","Tamanho, peso e legibilidade do tipo de letra",
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,Escolha quais os destinos sempre acessíveis,
settings_subtitle_media_players,string,,Names and mini-player visibility,Nomes e visibilidade dos mini-leitores,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior","Entrega push, histórico e comportamento do serviço",
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,Proteja ou transfira a configuração do seu painel,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions","Controlo parental, partilha do painel e permissões de destinatários",
settings_subtitle_about,string,,"The project, technology, and people behind HKI 7","O projeto, a tecnologia e as pessoas por trás do HKI 7",don't translate HKI 7
settings_subtitle_license,string,,Open-source community core and optional premium materials,Núcleo de comunidade de código aberto e materiais premium opcionais,
settings_subtitle_support,string,,Ways to help HKI 7 grow without buying Premium,Formas de ajudar o HKI 7 a crescer sem comprar o Premium,don't translate HKI 7
notification_channel_general,string,,General,Geral,
location_channel_name,string,,Location sharing,Partilha de localização,
location_notification_title,string,,Home Assistant location,Localização do Home Assistant,don't translate Home Assistant
location_notification_text,string,,Sharing your location with Home Assistant,A partilhar a sua localização com o Home Assistant,don't translate Home Assistant
push_connection_channel_name,string,,Notification connection,Ligação de notificações,
push_connection_notification_title,string,,Connected to Home Assistant,Ligado ao Home Assistant,don't translate Home Assistant
push_connection_notification_text,string,,Listening for notifications,A aguardar notificações,
parcel_title,string,,Parcels,Encomendas,
parcel_generic_carrier,string,,Carrier,Transportadora,
parcel_incoming,string,,Incoming,A chegar,
parcel_delivered,string,,Delivered,Entregue,
parcel_outgoing,string,,Outgoing,A sair,
parcel_letters,string,,Letters,Cartas,
parcel_mail,string,,Mail,Correio,
parcel_summary,string,,%1$d incoming · %2$d outgoing,%1$d a chegar · %2$d a sair,keep %1$d %2$d
