key,type,item,english,translation,notes
language_title,string,,Language,Sprog,
language_display_title,string,,Display language,Vis sprog,
language_display_subtitle,string,,Follows your device by default; choose one to override it,Følger din enhed som standard; vælg en for at tilsidesætte den,
language_system,string,,System default,System standard,
language_selected,string,,Selected,Valgt,
nav_home,string,,Home,Hjem,
nav_rooms,string,,Rooms,Værelser,
nav_security,string,,Security,Sikkerhed,
nav_energy,string,,Energy,Energi,
nav_climate,string,,Climate,Klima,
nav_battery,string,,Battery,Batteri,
nav_settings,string,,Settings,Indstillinger,
nav_room_detail,string,,Room Detail,Rum detalje,
settings_title_connection,string,,Connection,Forbindelse,
settings_title_profile,string,,Profile,Profil,
settings_title_location,string,,Location,Beliggenhed,
settings_title_notifications,string,,Notifications,Meddelelser,
settings_title_appearance,string,,Appearance,Udseende,
settings_title_header,string,,Header,Overskrift,
settings_title_theme,string,,Theme,Tema,
settings_title_fonts,string,,Fonts,Skrifttyper,
settings_title_corners,string,,Corners,Hjørner,
settings_title_icons,string,,Icons,Ikoner,
settings_title_nav_bar,string,,Navigation Bar,Navigationslinje,
settings_title_media_players,string,,Media Players,Medieafspillere,
settings_title_dashboard,string,,Dashboard,Dashboard,
settings_title_family_sharing,string,,Family Sharing,Familiedeling,
settings_title_backup_restore,string,,Backup and Restore,Sikkerhedskopiering og gendannelse,
settings_title_account,string,,Account,Konto,
settings_title_about,string,,About HKI 7,Om HKI 7,don't translate HKI 7
settings_title_license,string,,License,Licens,
settings_title_support,string,,Support,Støtte,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,"Alt det, der former din HKI 7-oplevelse",don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,Din profil og denne app installation,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,Personlige oplysninger brugt i hele dit dashboard,
settings_subtitle_connection,string,,Server routes and local-network preferences,Serverruter og lokale netværkspræferencer,
settings_subtitle_location,string,,Presence updates and background access,Tilstedeværelsesopdateringer og baggrundsadgang,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","Dashboards, faner, medieafspillere og popups",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,Få dashboardet til at føles som dit,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","Rundhed af knapper, kort og widgets",
settings_subtitle_icons,string,,Icon animations and per-domain effects,Ikonanimationer og per-domæne effekter,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,"Vælg, om dashboard-overskriften skal vises",
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","Farve, kontrast, tilstand og hjørnestyling",
settings_subtitle_fonts,string,,"Size, weight, and typeface readability","Størrelse, vægt og læsbarhed af skrifttyper",
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,Vælg hvilke destinationer der altid er inden for rækkevidde,
settings_subtitle_media_players,string,,Names and mini-player visibility,Navne og synlighed for minispillere,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior","Push-levering, historik og serviceadfærd",
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,Beskyt eller flyt din dashboard-konfiguration,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions","Forældrekontrol, dashboarddeling og modtagertilladelser",
settings_subtitle_about,string,,"The project, technology, and people behind HKI 7","Projektet, teknologien og folkene bag HKI 7",don't translate HKI 7
settings_subtitle_license,string,,Open-source community core and optional premium materials,Open source-fællesskabskerne og valgfri premium-materialer,
settings_subtitle_support,string,,Ways to help HKI 7 grow without buying Premium,Måder at hjælpe HKI 7 med at vokse uden at købe Premium,don't translate HKI 7
notification_channel_general,string,,General,Generel,
location_channel_name,string,,Location sharing,Placeringsdeling,
location_notification_title,string,,Home Assistant location,Home Assistant placering,don't translate Home Assistant
location_notification_text,string,,Sharing your location with Home Assistant,Deler din placering med Home Assistant,don't translate Home Assistant
push_connection_channel_name,string,,Notification connection,Notifikationsforbindelse,
push_connection_notification_title,string,,Connected to Home Assistant,Forbundet til Home Assistant,don't translate Home Assistant
push_connection_notification_text,string,,Listening for notifications,Lytter efter notifikationer,
parcel_title,string,,Parcels,Pakker,
parcel_generic_carrier,string,,Carrier,Transportør,
parcel_incoming,string,,Incoming,Indkommende,
parcel_delivered,string,,Delivered,Leveret,
parcel_outgoing,string,,Outgoing,Udgående,
parcel_letters,string,,Letters,Breve,
parcel_mail,string,,Mail,Post,
parcel_summary,string,,%1$d incoming · %2$d outgoing,%1$d indgående · %2$d udgående,keep %1$d %2$d
parcel_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d indgående · %2$d udgående · %3$d bogstaver,keep %1$d %2$d %3$d
parcel_carrier_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d indgående · %2$d udgående · %3$d bogstaver,keep %1$d %2$d %3$d
parcel_summary_with_letter_count,string,,%1$d incoming · %2$d outgoing · %3$s,%1$d indgående · %2$d udgående · %3$s,keep %1$d %2$d %3$s
parcel_tracking_history,string,,Tracking history,Sporingshistorik,
parcel_tracking_history_subtitle,string,,Parcel journey and status updates,Pakkerejse og statusopdateringer,
parcel_choose_carrier_account,string,,Choose a carrier account,Vælg en operatørkonto,
parcel_tab_count,string,,%1$s (%2$d),%1$s (%2$d),keep %1$s %2$d
parcel_empty_tab,string,,No %1$s parcels.,Ingen %1$s pakker.,keep %1$s
parcel_no_incoming,string,,No incoming parcels.,Ingen indgående pakker.,
parcel_no_delivered,string,,No delivered parcels.,Ingen afleverede pakker.,
parcel_no_outgoing,string,,No outgoing parcels.,Ingen udgående pakker.,
parcel_stage_registered,string,,Registered,Registreret,
parcel_stage_sorting,string,,Sorting,Sortering,
parcel_stage_on_the_way,string,,On the way,På vej,
parcel_unknown_status,string,,Unknown status,Ukendt status,
parcel_status_in_transit,string,,In transit,I transit,
parcel_status_out_for_delivery,string,,Out for delivery,Ude til levering,
parcel_status_at_pickup_point,string,,Ready at pickup point,Klar på afhentningsstedet,
parcel_status_ready_to_send,string,,Ready to send,Klar til at sende,
parcel_letter_preview,string,,Letter preview,Forhåndsvisning af brev,
parcel_carriers,string,,Carriers,Transportører,
parcel_track_new,string,,Track a new %1$s parcel by number,Spor en ny %1$s pakke efter nummer,keep %1$s
parcel_choose_carrier,string,,Choose a carrier,Vælg en transportør,
parcel_settings_subtitle,string,,"Carrier accounts, aggregation, and appearance","Transportørkonti, sammenlægning og udseende",
parcel_settings_accounts,string,,Accounts,Regnskaber,
parcel_settings_organization,string,,Organization,Organisation,
parcel_settings_appearance,string,,Appearance,Udseende,
action_remove,string,,Remove,Fjerne,
notification_delete,string,,Delete notification,Slet notifikation,
notification_mark_all_read,string,,Mark all as read,Marker alle som læst,
notification_mark_all_unread,string,,Mark all as unread,Marker alle som ulæste,
notification_delete_all,string,,Delete all,Slet alle,
