key,type,item,english,translation,notes
language_title,string,,Language,Idioma,
language_display_title,string,,Display language,Idioma de visualización,
language_display_subtitle,string,,Follows your device by default; choose one to override it,Sigue su dispositivo de forma predeterminada; elige uno para anularlo,
language_system,string,,System default,Valor predeterminado del sistema,
language_selected,string,,Selected,Seleccionado,
nav_home,string,,Home,Hogar,
nav_rooms,string,,Rooms,Alojamiento,
nav_security,string,,Security,Seguridad,
nav_energy,string,,Energy,Energía,
nav_climate,string,,Climate,Clima,
nav_battery,string,,Battery,Batería,
nav_settings,string,,Settings,Ajustes,
nav_room_detail,string,,Room Detail,Detalle de la habitación,
settings_title_connection,string,,Connection,Conexión,
settings_title_profile,string,,Profile,Perfil,
settings_title_location,string,,Location,Ubicación,
settings_title_notifications,string,,Notifications,Notificaciones,
settings_title_appearance,string,,Appearance,Apariencia,
settings_title_header,string,,Header,Encabezamiento,
settings_title_theme,string,,Theme,Tema,
settings_title_fonts,string,,Fonts,Fuentes,
settings_title_corners,string,,Corners,Esquinas,
settings_title_icons,string,,Icons,Iconos,
settings_title_nav_bar,string,,Navigation Bar,Barra de navegación,
settings_title_media_players,string,,Media Players,Reproductores multimedia,
settings_title_dashboard,string,,Dashboard,Panel,
settings_title_family_sharing,string,,Family Sharing,Compartir en familia,
settings_title_backup_restore,string,,Backup and Restore,Copia de seguridad y restauración,
settings_title_account,string,,Account,Cuenta,
settings_title_about,string,,About HKI 7,Acerca de HKI 7,don't translate HKI 7
settings_title_license,string,,License,Licencia,
settings_title_support,string,,Support,Apoyo,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,Todo lo que da forma a tu experiencia HKI 7,don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,Tu perfil y la instalación de esta aplicación.,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,Datos personales utilizados en todo su panel de control,
settings_subtitle_connection,string,,Server routes and local-network preferences,Rutas del servidor y preferencias de red local,
settings_subtitle_location,string,,Presence updates and background access,Actualizaciones de presencia y acceso en segundo plano,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","Paneles de control, pestañas, reproductores multimedia y ventanas emergentes",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,Haz que el tablero se sienta como tuyo,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","Redondez de botones, tarjetas y widgets.",
settings_subtitle_icons,string,,Icon animations and per-domain effects,Animaciones de iconos y efectos por dominio.,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,Elija si se muestra el encabezado del panel,
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","Color, contraste, modo y estilo de esquinas.",
