key,type,item,english,translation,notes
language_title,string,,Language,Dil,
language_display_title,string,,Display language,Ekran dili,
language_display_subtitle,string,,Follows your device by default; choose one to override it,Cihazınızı varsayılan olarak takip eder; geçersiz kılmak için birini seçin,
language_system,string,,System default,Sistem varsayılanı,
language_selected,string,,Selected,Seçildi,
nav_home,string,,Home,Ev,
nav_rooms,string,,Rooms,Odalar,
nav_security,string,,Security,Güvenlik,
nav_energy,string,,Energy,Enerji,
nav_climate,string,,Climate,İklim,
nav_battery,string,,Battery,Pil,
nav_settings,string,,Settings,Ayarlar,
nav_room_detail,string,,Room Detail,Oda Detayı,
settings_title_connection,string,,Connection,Bağlantı,
settings_title_profile,string,,Profile,Profil,
settings_title_location,string,,Location,Konum,
settings_title_notifications,string,,Notifications,Bildirimler,
settings_title_appearance,string,,Appearance,Dış görünüş,
settings_title_header,string,,Header,Başlık,
settings_title_theme,string,,Theme,Tema,
settings_title_fonts,string,,Fonts,Yazı tipleri,
settings_title_corners,string,,Corners,Köşeler,
settings_title_icons,string,,Icons,Simgeler,
settings_title_nav_bar,string,,Navigation Bar,Gezinme Çubuğu,
settings_title_media_players,string,,Media Players,Medya Oynatıcıları,
settings_title_dashboard,string,,Dashboard,Kontrol Paneli,
settings_title_family_sharing,string,,Family Sharing,Aile Paylaşımı,
settings_title_backup_restore,string,,Backup and Restore,Yedekleme ve Geri Yükleme,
settings_title_account,string,,Account,Hesap,
settings_title_about,string,,About HKI 7,HKI 7 Hakkında,don't translate HKI 7
settings_title_license,string,,License,Lisans,
settings_title_support,string,,Support,Destek,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,HKI 7 deneyiminizi şekillendiren her şey,don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,Profiliniz ve bu uygulama kurulumu,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,Kontrol panelinizde kullanılan kişisel ayrıntılar,
settings_subtitle_connection,string,,Server routes and local-network preferences,Sunucu rotaları ve yerel ağ tercihleri,
settings_subtitle_location,string,,Presence updates and background access,Durum güncellemeleri ve arka planda erişim,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","Kontrol panelleri, sekmeler, medya oynatıcılar ve açılır pencereler",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,Kontrol panelinin size aitmiş gibi hissetmesini sağlayın,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","Düğmelerin, kartların ve widget'ların yuvarlaklığı",
settings_subtitle_icons,string,,Icon animations and per-domain effects,Simge animasyonları ve etki alanı başına efektler,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,Kontrol paneli başlığının gösterilip gösterilmeyeceğini seçin,
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","Renk, kontrast, mod ve köşe stili",
settings_subtitle_fonts,string,,"Size, weight, and typeface readability","Boyut, ağırlık ve yazı tipinin okunabilirliği",
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,Hangi hedeflerin her zaman ulaşılabilir olacağını seçin,
settings_subtitle_media_players,string,,Names and mini-player visibility,İsimler ve mini oynatıcı görünürlüğü,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior","Anlık teslimat, geçmiş ve hizmet davranışı",
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,Kontrol paneli yapılandırmanızı koruyun veya taşıyın,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions","Ebeveyn denetimleri, kontrol paneli paylaşımı ve alıcı izinleri",
settings_subtitle_about,string,,"The project, technology, and people behind HKI 7","HKI 7'nin arkasındaki proje, teknoloji ve kişiler",don't translate HKI 7
settings_subtitle_license,string,,Open-source community core and optional premium materials,Açık kaynak topluluk çekirdeği ve isteğe bağlı premium materyaller,
settings_subtitle_support,string,,Ways to help HKI 7 grow without buying Premium,HKI 7'nin Premium satın almadan büyümesine yardımcı olmanın yolları,don't translate HKI 7
notification_channel_general,string,,General,Genel,
location_channel_name,string,,Location sharing,Konum paylaşımı,
location_notification_title,string,,Home Assistant location,Home Assistant konumu,don't translate Home Assistant
location_notification_text,string,,Sharing your location with Home Assistant,Konumunuz Home Assistant ile paylaşılıyor,don't translate Home Assistant
push_connection_channel_name,string,,Notification connection,Bildirim bağlantısı,
push_connection_notification_title,string,,Connected to Home Assistant,Home Assistant'a bağlandı,don't translate Home Assistant
push_connection_notification_text,string,,Listening for notifications,Bildirimler bekleniyor,
parcel_title,string,,Parcels,Paketler,
parcel_generic_carrier,string,,Carrier,Taşıyıcı,
parcel_incoming,string,,Incoming,Gelen,
parcel_delivered,string,,Delivered,Teslim edildi,
parcel_outgoing,string,,Outgoing,Giden,
parcel_letters,string,,Letters,Mektuplar,
parcel_mail,string,,Mail,Posta,
parcel_summary,string,,%1$d incoming · %2$d outgoing,%1$d gelen · %2$d giden,keep %1$d %2$d
parcel_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d gelen · %2$d giden · %3$d mektup,keep %1$d %2$d %3$d
parcel_carrier_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d gelen · %2$d giden · %3$d mektup,keep %1$d %2$d %3$d
parcel_summary_with_letter_count,string,,%1$d incoming · %2$d outgoing · %3$s,%1$d gelen · %2$d giden · %3$s,keep %1$d %2$d %3$s
parcel_tracking_history,string,,Tracking history,Takip geçmişi,
parcel_tracking_history_subtitle,string,,Parcel journey and status updates,Gönderi geçmişi ve durum güncellemeleri,
parcel_choose_carrier_account,string,,Choose a carrier account,Taşıyıcı hesabı seç,
parcel_tab_count,string,,%1$s (%2$d),%1$s (%2$d),keep %1$s %2$d
parcel_empty_tab,string,,No %1$s parcels.,%1$s paket yok.,keep %1$s
parcel_no_incoming,string,,No incoming parcels.,Gelen paket yok.,
parcel_no_delivered,string,,No delivered parcels.,Teslim edilmiş paket yok.,
parcel_no_outgoing,string,,No outgoing parcels.,Giden paket yok.,
parcel_stage_registered,string,,Registered,Kaydedildi,
parcel_stage_sorting,string,,Sorting,Ayrıştırılıyor,
parcel_stage_on_the_way,string,,On the way,Yolda,
parcel_unknown_status,string,,Unknown status,Bilinmeyen durum,
parcel_status_in_transit,string,,In transit,Yolda,
parcel_status_out_for_delivery,string,,Out for delivery,Dağıtıma çıktı,
parcel_status_at_pickup_point,string,,Ready at pickup point,Teslim alma noktasında,
parcel_status_ready_to_send,string,,Ready to send,Gönderime hazır,
parcel_letter_preview,string,,Letter preview,Mektup önizlemesi,
parcel_carriers,string,,Carriers,Taşıyıcılar,
parcel_track_new,string,,Track a new %1$s parcel by number,Takip numarasıyla yeni bir %1$s paketi takip et,keep %1$s
parcel_choose_carrier,string,,Choose a carrier,Taşıyıcı seç,
