key,type,item,english,translation,notes
language_title,string,,Language,שָׂפָה,
language_display_title,string,,Display language,שפת תצוגה,
language_display_subtitle,string,,Follows your device by default; choose one to override it,עוקב אחר המכשיר שלך כברירת מחדל; בחר אחד כדי לעקוף אותו,
language_system,string,,System default,ברירת המחדל של המערכת,
language_selected,string,,Selected,נִבחָר,
nav_home,string,,Home,בַּיִת,
nav_rooms,string,,Rooms,חדרים,
nav_security,string,,Security,בִּטָחוֹן,
nav_energy,string,,Energy,אֵנֶרְגִיָה,
nav_climate,string,,Climate,אַקלִים,
nav_battery,string,,Battery,סוֹלְלָה,
nav_settings,string,,Settings,הגדרות,
nav_room_detail,string,,Room Detail,פרטי חדר,
settings_title_connection,string,,Connection,קֶשֶׁר,
settings_title_profile,string,,Profile,פּרוֹפִיל,
settings_title_location,string,,Location,מִקוּם,
settings_title_notifications,string,,Notifications,התראות,
settings_title_appearance,string,,Appearance,הוֹפָעָה,
settings_title_header,string,,Header,כּוֹתֶרֶת,
settings_title_theme,string,,Theme,נוֹשֵׂא,
settings_title_fonts,string,,Fonts,גופנים,
settings_title_corners,string,,Corners,פינות,
settings_title_icons,string,,Icons,אייקונים,
settings_title_nav_bar,string,,Navigation Bar,סרגל ניווט,
settings_title_media_players,string,,Media Players,נגני מדיה,
settings_title_dashboard,string,,Dashboard,לוּחַ מַחווָנִים,
settings_title_family_sharing,string,,Family Sharing,שיתוף משפחה,
settings_title_backup_restore,string,,Backup and Restore,גיבוי ושחזור,
settings_title_account,string,,Account,חֶשְׁבּוֹן,
settings_title_about,string,,About HKI 7,אודות HKI 7,don't translate HKI 7
settings_title_license,string,,License,רִשָׁיוֹן,
settings_title_support,string,,Support,תְמִיכָה,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,כל מה שמעצב את חווית ה-HKI 7 שלך,don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,הפרופיל שלך והתקנת האפליקציה הזו,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,פרטים אישיים בשימוש בכל לוח המחוונים שלך,
settings_subtitle_connection,string,,Server routes and local-network preferences,נתיבי שרת והעדפות רשת מקומית,
settings_subtitle_location,string,,Presence updates and background access,עדכוני נוכחות וגישה ברקע,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","לוחות מחוונים, כרטיסיות, נגני מדיה וחלונות קופצים",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,תן ללוח המחוונים להרגיש כמו שלך,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","עגולות של כפתורים, כרטיסים ווידג'טים",
settings_subtitle_icons,string,,Icon animations and per-domain effects,אנימציות אייקונים ואפקטים לכל דומיין,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,בחר אם הכותרת של לוח המחוונים תוצג,
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","צבע, ניגודיות, מצב ועיצוב פינות",
settings_subtitle_fonts,string,,"Size, weight, and typeface readability","גודל, משקל וקריאה של הגופן",
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,בחר אילו יעדים תמיד בהישג יד,
settings_subtitle_media_players,string,,Names and mini-player visibility,שמות וניראות מיני-שחקן,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior","דחיפה של משלוח, היסטוריה והתנהגות שירות",
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,הגן או הזז את תצורת לוח המחוונים שלך,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions","בקרת הורים, שיתוף לוח המחוונים והרשאות נמענים",
