key,type,item,english,translation,notes
language_title,string,,Language,Kieli,
language_display_title,string,,Display language,Näytön kieli,
language_display_subtitle,string,,Follows your device by default; choose one to override it,Seuraa laitettasi oletuksena; valitse yksi ohittaaksesi sen,
language_system,string,,System default,Järjestelmän oletus,
language_selected,string,,Selected,Valittu,
nav_home,string,,Home,Kotiin,
nav_rooms,string,,Rooms,Huoneet,
nav_security,string,,Security,Turvallisuus,
nav_energy,string,,Energy,Energiaa,
nav_climate,string,,Climate,Ilmasto,
nav_battery,string,,Battery,Akku,
nav_settings,string,,Settings,Asetukset,
nav_room_detail,string,,Room Detail,Huoneen yksityiskohdat,
settings_title_connection,string,,Connection,Yhteys,
settings_title_profile,string,,Profile,Profiili,
settings_title_location,string,,Location,Sijainti,
settings_title_notifications,string,,Notifications,Ilmoitukset,
settings_title_appearance,string,,Appearance,Ulkonäkö,
settings_title_header,string,,Header,Otsikko,
settings_title_theme,string,,Theme,Teema,
settings_title_fonts,string,,Fonts,Fontit,
settings_title_corners,string,,Corners,Kulmat,
settings_title_icons,string,,Icons,Kuvakkeet,
settings_title_nav_bar,string,,Navigation Bar,Navigointipalkki,
settings_title_media_players,string,,Media Players,Mediasoittimet,
settings_title_dashboard,string,,Dashboard,Kojelauta,
settings_title_family_sharing,string,,Family Sharing,Perheen jakaminen,
settings_title_backup_restore,string,,Backup and Restore,Varmuuskopioi ja palauta,
settings_title_account,string,,Account,Tili,
settings_title_about,string,,About HKI 7,Tietoja HKI 7:stä,don't translate HKI 7
settings_title_license,string,,License,Lisenssi,
settings_title_support,string,,Support,Tukea,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,"Kaikki, mikä muokkaa HKI 7 -kokemustasi",don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,Profiilisi ja tämä sovelluksen asennus,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,Henkilötietoja käytetään koko hallintapaneelissasi,
settings_subtitle_connection,string,,Server routes and local-network preferences,Palvelinreitit ja paikallisen verkon asetukset,
settings_subtitle_location,string,,Presence updates and background access,Läsnäolopäivitykset ja pääsy taustalla,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","Kojelaudat, välilehdet, mediasoittimet ja ponnahdusikkunat",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,Tee kojelautasta omasi,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","Painikkeiden, korttien ja widgetien pyöreys",
settings_subtitle_icons,string,,Icon animations and per-domain effects,Kuvakeanimaatiot ja verkkotunnuskohtaiset tehosteet,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,"Valitse, näytetäänkö kojelaudan otsikko",
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","Väri, kontrasti, tila ja kulmien muotoilu",
settings_subtitle_fonts,string,,"Size, weight, and typeface readability","Koko, paino ja kirjasintyypin luettavuus",
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,"Valitse, mitkä kohteet ovat aina käden ulottuvilla",
settings_subtitle_media_players,string,,Names and mini-player visibility,Nimet ja minipelaajien näkyvyys,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior","Push-toimitus, historia ja palvelukäyttäytyminen",
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,Suojaa tai siirrä kojelautakokoonpanosi,
