key,type,item,english,translation,notes
language_title,string,,Language,Язык,
language_display_title,string,,Display language,Язык дисплея,
language_display_subtitle,string,,Follows your device by default; choose one to override it,"По умолчанию следует за вашим устройством; выберите один, чтобы переопределить его",
language_system,string,,System default,Система по умолчанию,
language_selected,string,,Selected,Выбрано,
nav_home,string,,Home,Дом,
nav_rooms,string,,Rooms,Номера,
nav_security,string,,Security,Безопасность,
nav_energy,string,,Energy,Энергия,
nav_climate,string,,Climate,Климат,
nav_battery,string,,Battery,Батарея,
nav_settings,string,,Settings,Настройки,
nav_room_detail,string,,Room Detail,Деталь номера,
settings_title_connection,string,,Connection,Связь,
settings_title_profile,string,,Profile,Профиль,
settings_title_location,string,,Location,Расположение,
settings_title_notifications,string,,Notifications,Уведомления,
settings_title_appearance,string,,Appearance,Появление,
settings_title_header,string,,Header,Заголовок,
settings_title_theme,string,,Theme,Тема,
settings_title_fonts,string,,Fonts,Шрифты,
settings_title_corners,string,,Corners,Углы,
settings_title_icons,string,,Icons,Иконки,
settings_title_nav_bar,string,,Navigation Bar,Панель навигации,
settings_title_media_players,string,,Media Players,Медиаплееры,
settings_title_dashboard,string,,Dashboard,Панель управления,
settings_title_family_sharing,string,,Family Sharing,Семейный доступ,
settings_title_backup_restore,string,,Backup and Restore,Резервное копирование и восстановление,
settings_title_account,string,,Account,Счет,
settings_title_about,string,,About HKI 7,О HKI 7,don't translate HKI 7
settings_title_license,string,,License,Лицензия,
settings_title_support,string,,Support,Поддерживать,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,"Все, что формирует ваш опыт HKI 7",don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,Ваш профиль и установка этого приложения,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,"Личные данные, используемые на вашей информационной панели",
settings_subtitle_connection,string,,Server routes and local-network preferences,Маршруты сервера и настройки локальной сети,
settings_subtitle_location,string,,Presence updates and background access,Обновления присутствия и фоновый доступ,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","Панели мониторинга, вкладки, медиаплееры и всплывающие окна",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,Сделайте панель управления похожей на вашу,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","Округлость кнопок, карточек и виджетов",
settings_subtitle_icons,string,,Icon animations and per-domain effects,Анимация значков и эффекты для каждого домена,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,"Выберите, будет ли отображаться заголовок информационной панели",
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","Цвет, контрастность, режим и угловой стиль",
settings_subtitle_fonts,string,,"Size, weight, and typeface readability","Размер, вес и читаемость шрифта",
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,"Выбирайте, какие пункты назначения всегда под рукой",
settings_subtitle_media_players,string,,Names and mini-player visibility,Имена и видимость мини-плеера,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior","Push-доставка, история и поведение сервиса",
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,Защитите или переместите конфигурацию панели мониторинга,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions","Родительский контроль, общий доступ к информационной панели и разрешения получателей",
settings_subtitle_about,string,,"The project, technology, and people behind HKI 7","Проект, технология и люди, стоящие за HKI 7",don't translate HKI 7
settings_subtitle_license,string,,Open-source community core and optional premium materials,Ядро сообщества с открытым исходным кодом и дополнительные материалы премиум-класса.,
settings_subtitle_support,string,,Ways to help HKI 7 grow without buying Premium,Как помочь HKI 7 развиваться без покупки Premium,don't translate HKI 7
notification_channel_general,string,,General,Общий,
location_channel_name,string,,Location sharing,Передача местоположения,
location_notification_title,string,,Home Assistant location,Home Assistant местоположение,don't translate Home Assistant
location_notification_text,string,,Sharing your location with Home Assistant,Передача вашего местоположения Home Assistant,don't translate Home Assistant
push_connection_channel_name,string,,Notification connection,Подключение уведомлений,
push_connection_notification_title,string,,Connected to Home Assistant,Подключено к Home Assistant,don't translate Home Assistant
push_connection_notification_text,string,,Listening for notifications,Прослушивание уведомлений,
parcel_title,string,,Parcels,Посылки,
parcel_generic_carrier,string,,Carrier,Перевозчик,
parcel_incoming,string,,Incoming,Входящий,
parcel_delivered,string,,Delivered,Доставленный,
parcel_outgoing,string,,Outgoing,Исходящий,
parcel_letters,string,,Letters,Письма,
parcel_mail,string,,Mail,Почта,
parcel_summary,string,,%1$d incoming · %2$d outgoing,%1$d входящий · %2$d исходящий,keep %1$d %2$d
parcel_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d входящие · %2$d исходящие · %3$d букв,keep %1$d %2$d %3$d
parcel_carrier_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d входящие · %2$d исходящие · %3$d букв,keep %1$d %2$d %3$d
parcel_summary_with_letter_count,string,,%1$d incoming · %2$d outgoing · %3$s,%1$d входящий · %2$d исходящий · %3$s,keep %1$d %2$d %3$s
parcel_tracking_history,string,,Tracking history,История отслеживания,
parcel_tracking_history_subtitle,string,,Parcel journey and status updates,Путешествие посылки и обновления статуса,
parcel_choose_carrier_account,string,,Choose a carrier account,Выберите учетную запись оператора связи,
parcel_tab_count,string,,%1$s (%2$d),%1$s (%2$d),keep %1$s %2$d
parcel_empty_tab,string,,No %1$s parcels.,Нет посылок %1$s.,keep %1$s
parcel_no_incoming,string,,No incoming parcels.,Никаких входящих посылок.,
parcel_no_delivered,string,,No delivered parcels.,Нет доставленных посылок.,
parcel_no_outgoing,string,,No outgoing parcels.,Нет исходящих посылок.,
parcel_stage_registered,string,,Registered,Зарегистрирован,
parcel_stage_sorting,string,,Sorting,Сортировка,
parcel_stage_on_the_way,string,,On the way,В пути,
parcel_unknown_status,string,,Unknown status,Неизвестный статус,
parcel_status_in_transit,string,,In transit,В пути,
parcel_status_out_for_delivery,string,,Out for delivery,Выезд на доставку,
parcel_status_at_pickup_point,string,,Ready at pickup point,Готово в пункте самовывоза,
parcel_status_ready_to_send,string,,Ready to send,Готов отправить,
parcel_letter_preview,string,,Letter preview,Предварительный просмотр письма,
parcel_carriers,string,,Carriers,Перевозчики,
parcel_track_new,string,,Track a new %1$s parcel by number,Отследить новую посылку %1$s по номеру,keep %1$s
parcel_choose_carrier,string,,Choose a carrier,Выберите оператора связи,
parcel_settings_subtitle,string,,"Carrier accounts, aggregation, and appearance","Счета перевозчиков, агрегирование и внешний вид",
parcel_settings_accounts,string,,Accounts,Счета,
parcel_settings_organization,string,,Organization,Организация,
parcel_settings_appearance,string,,Appearance,Появление,
action_remove,string,,Remove,Удалять,
notification_delete,string,,Delete notification,Удалить уведомление,
notification_mark_all_read,string,,Mark all as read,Отметить все как прочитанное,
notification_mark_all_unread,string,,Mark all as unread,Отметить все как непрочитанные,
notification_delete_all,string,,Delete all,Удалить все,
notification_delete_all_archived,string,,Delete all archived,Удалить все заархивированные,
notification_unread,string,,Unread,Непрочитано,
notification_history,string,,History,История,
notification_mark_unread,string,,Mark as unread,Отметить как непрочитанное,
notification_mark_read,string,,Mark as read,Отметить как прочитанное,
notification_archive,string,,Archive,Архив,
notification_unarchive,string,,Unarchive,Разархивировать,
notification_delete_action,string,,Delete,Удалить,
entity_search_select_items,string,,Select items,Выберите элементы,
entity_search_choose_one,string,,Search and choose one entity,Найдите и выберите одну сущность,
entity_search_choose_multiple,string,,Search and select one or more entities,Найдите и выберите один или несколько объектов,
global_search_title,string,,Search,Поиск,
global_search_subtitle,string,,Find and control any Home Assistant device or entity,Находите и контролируйте любое устройство или объект Home Assistant.,don't translate Home Assistant
global_search_clear,string,,Clear search,Очистить поиск,
global_search_no_devices,string,,No matching devices.,Нет подходящих устройств.,
global_search_no_entities,string,,No matching entities.,Нет соответствующих объектов.,
security_title,string,,Security,Безопасность,
security_subtitle,string,,Home status and activity,Статус дома и активность,
security_settings,string,,Security settings,Настройки безопасности,
security_entities,string,,Security entities,Объекты безопасности,
security_reimport,string,,Re-import,Реимпорт,
security_group_doors,string,,Doors,Двери,
security_group_doors_subtitle,string,,Door contacts,Дверные контакты,
security_group_windows,string,,Windows,Окна,
security_group_windows_subtitle,string,,Window contacts,Оконные контакты,
security_group_openings,string,,Openings,Открытия,
security_group_openings_subtitle,string,,Garage doors and other openings,Гаражные ворота и другие проемы,
security_group_garage_doors,string,,Garage doors,Гаражные ворота,
security_group_garage_doors_subtitle,string,,Garage door covers,Покрытия гаражных ворот,
security_group_covers,string,,Covers,Обложки,
security_group_covers_subtitle,string,,"Blinds, shutters, and gates","Жалюзи, ставни и ворота",
security_group_locks,string,,Locks,Замки,
security_group_locks_subtitle,string,,Door and gate locks,Дверные и воротные замки,
security_group_motion,string,,Motion,Движение,
security_group_motion_subtitle,string,,Motion detection,Обнаружение движения,
security_group_presence,string,,Presence,Присутствие,
security_group_presence_subtitle,string,,Occupancy sensors,Датчики присутствия,
security_group_fire,string,,Fire and temperature,Огонь и температура,
security_group_fire_subtitle,string,,"Fire, heat, cold, and safety alarms","Сигнализация пожара, тепла, холода и безопасности",
security_group_smoke,string,,Smoke,Дым,
security_group_smoke_subtitle,string,,Smoke detectors,Детекторы дыма,
security_group_gas,string,,Gas,Газ,
security_group_gas_subtitle,string,,Combustible gas sensors,Датчики горючих газов,
security_group_co2,string,,CO / CO₂,CO / CO₂,
security_group_co2_subtitle,string,,Carbon monoxide and carbon dioxide sensors,Датчики угарного газа и углекислого газа,
security_group_moisture,string,,Leaks,Утечки,
security_group_moisture_subtitle,string,,Moisture and water leaks,Утечка влаги и воды,
security_group_sound,string,,Sound,Звук,
security_group_sound_subtitle,string,,Sound and glass-break sensors,Датчики звука и разбития стекла,
security_group_light,string,,Light detection,Обнаружение света,
security_group_light_subtitle,string,,Light and beam sensors,Датчики света и луча,
security_group_alarms,string,,Alarm systems,Системы сигнализации,
security_group_alarms_subtitle,string,,Alarm control panels,Панели управления сигнализацией,
security_group_cameras,string,,Cameras,Камеры,
security_group_cameras_subtitle,string,,Camera feeds,Видео с камер,
security_no_search_active,string,,No search active · %1$s,Поиск не активен · %1$s,keep %1$s
security_status_alert,string,,Security alert,Оповещение безопасности,
security_status_alarm_pending,string,,Alarm pending,Ожидается сигнал тревоги,
security_status_changing_alarm,string,,Changing alarm mode,Изменение режима будильника,
security_status_needs_attention,string,,Needs attention,Требует внимания,
security_status_motion,string,,Motion detected,Обнаружено движение,
security_status_sensor_activity,string,,Sensor activity,Активность датчика,
security_status_alarm_unavailable,string,,Alarm unavailable,Будильник недоступен,
security_status_devices_unavailable,string,,Devices unavailable,Устройства недоступны,
security_status_cameras_offline,string,,Cameras offline,Камеры оффлайн,
security_status_all_secure,string,,All secure,Все безопасно,
security_status_alarm_disarmed,string,,Alarm disarmed,Сигнализация снята с охраны,
security_status_all_clear,string,,All clear,Все ясно,
security_status_no_data,string,,No security data,Нет данных безопасности,
security_metric_openings,string,,Openings,Открытия,
security_metric_locked,string,,Locked,Заблокировано,
security_metric_cameras_online,string,,Cameras online,Камеры онлайн,
security_card_title,string,,Security card,Карта безопасности,
