key,type,item,english,translation,notes
language_title,string,,Language,Kalba,
language_display_title,string,,Display language,Ekrano kalba,
language_display_subtitle,string,,Follows your device by default; choose one to override it,"Pagal numatytuosius nustatymus seka jūsų įrenginį; pasirinkite vieną, kad ją nepaisytumėte",
language_system,string,,System default,Numatytasis sistemos,
language_selected,string,,Selected,Pasirinkta,
nav_home,string,,Home,Pradžia,
nav_rooms,string,,Rooms,Kambariai,
nav_security,string,,Security,Saugumas,
nav_energy,string,,Energy,Energija,
nav_climate,string,,Climate,Klimatas,
nav_battery,string,,Battery,Baterija,
nav_settings,string,,Settings,Nustatymai,
nav_room_detail,string,,Room Detail,Kambario detalė,
settings_title_connection,string,,Connection,Ryšys,
settings_title_profile,string,,Profile,Profilis,
settings_title_location,string,,Location,Vieta,
settings_title_notifications,string,,Notifications,Pranešimai,
settings_title_appearance,string,,Appearance,Išvaizda,
settings_title_header,string,,Header,Antraštė,
settings_title_theme,string,,Theme,tema,
settings_title_fonts,string,,Fonts,Šriftai,
settings_title_corners,string,,Corners,Kampai,
settings_title_icons,string,,Icons,Piktogramos,
settings_title_nav_bar,string,,Navigation Bar,Naršymo juosta,
settings_title_media_players,string,,Media Players,Medijos grotuvai,
settings_title_dashboard,string,,Dashboard,Prietaisų skydelis,
settings_title_family_sharing,string,,Family Sharing,Šeimos bendrinimas,
settings_title_backup_restore,string,,Backup and Restore,Atsarginė kopija ir atkūrimas,
settings_title_account,string,,Account,sąskaita,
settings_title_about,string,,About HKI 7,Apie HKI 7,don't translate HKI 7
settings_title_license,string,,License,Licencija,
settings_title_support,string,,Support,Palaikymas,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,"Viskas, kas formuoja jūsų HKI 7 patirtį",don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,Jūsų profilis ir šios programos diegimas,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,Asmeninė informacija naudojama jūsų prietaisų skydelyje,
settings_subtitle_connection,string,,Server routes and local-network preferences,Serverio maršrutai ir vietinio tinklo nuostatos,
settings_subtitle_location,string,,Presence updates and background access,Buvimo naujiniai ir prieiga prie fono,
