key,type,item,english,translation,notes
language_title,string,,Language,語言,
language_display_title,string,,Display language,顯示語言,
language_display_subtitle,string,,Follows your device by default; choose one to override it,預設跟隨裝置語言；選擇一項可覆寫此設定,
language_system,string,,System default,系統預設,
language_selected,string,,Selected,已選取,
nav_home,string,,Home,首頁,
nav_rooms,string,,Rooms,房間,
nav_security,string,,Security,安全,
nav_energy,string,,Energy,能源,
nav_climate,string,,Climate,空調,
nav_battery,string,,Battery,電池,
nav_settings,string,,Settings,設定,
nav_room_detail,string,,Room Detail,房間詳細資料,
settings_title_connection,string,,Connection,連線,
settings_title_profile,string,,Profile,個人資料,
settings_title_location,string,,Location,位置,
settings_title_notifications,string,,Notifications,通知,
settings_title_appearance,string,,Appearance,外觀,
settings_title_header,string,,Header,標題列,
settings_title_theme,string,,Theme,主題,
settings_title_fonts,string,,Fonts,字型,
settings_title_corners,string,,Corners,圓角,
settings_title_icons,string,,Icons,圖示,
settings_title_nav_bar,string,,Navigation Bar,導覽列,
settings_title_media_players,string,,Media Players,媒體播放器,
settings_title_dashboard,string,,Dashboard,儀表板,
settings_title_family_sharing,string,,Family Sharing,家庭共享,
settings_title_backup_restore,string,,Backup and Restore,備份與還原,
settings_title_account,string,,Account,帳號,
settings_title_about,string,,About HKI 7,關於 HKI 7,don't translate HKI 7
settings_title_license,string,,License,授權條款,
settings_title_support,string,,Support,支持我們,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,所有形塑您 HKI 7 體驗的設定,don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,您的個人資料與此應用程式安裝,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,貫穿您整個儀表板的個人資訊,
settings_subtitle_connection,string,,Server routes and local-network preferences,伺服器路由與本機網路偏好設定,
settings_subtitle_location,string,,Presence updates and background access,在家狀態更新與背景存取權限,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups",儀表板、選項卡、媒體播放器和彈出窗口,
settings_subtitle_appearance,string,,Make the dashboard feel like yours,讓儀表板呈現出您的風格,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets",按鈕、卡片與小工具的圓角程度,
settings_subtitle_icons,string,,Icon animations and per-domain effects,圖示動畫與各領域效果,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,選擇是否顯示儀表板標題列,
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling",顏色、對比、模式與圓角樣式,
settings_subtitle_fonts,string,,"Size, weight, and typeface readability",字型大小、粗細與易讀性,
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,選擇隨時可存取的導覽目的地,
settings_subtitle_media_players,string,,Names and mini-player visibility,名稱與迷你播放器顯示狀態,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior",推播傳送、歷史紀錄與服務行為,
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,保護或轉移您的儀表板設定,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions",家長監護、儀表板分享與接收者權限,
settings_subtitle_about,string,,"The project, technology, and people behind HKI 7",HKI 7 背後的專案、技術與團隊,don't translate HKI 7
settings_subtitle_license,string,,Open-source community core and optional premium materials,開源社群核心與選用的進階素材,
settings_subtitle_support,string,,Ways to help HKI 7 grow without buying Premium,不需購買進階版也能協助 HKI 7 成長的方式,don't translate HKI 7
notification_channel_general,string,,General,一般,
location_channel_name,string,,Location sharing,位置分享,
location_notification_title,string,,Home Assistant location,Home Assistant 位置,don't translate Home Assistant
location_notification_text,string,,Sharing your location with Home Assistant,正在與 Home Assistant 分享您的位置,don't translate Home Assistant
push_connection_channel_name,string,,Notification connection,通知連線,
push_connection_notification_title,string,,Connected to Home Assistant,已連線至 Home Assistant,don't translate Home Assistant
push_connection_notification_text,string,,Listening for notifications,正在接收通知,
parcel_title,string,,Parcels,包裹,
parcel_generic_carrier,string,,Carrier,物流業者,
parcel_incoming,string,,Incoming,寄送中,
parcel_delivered,string,,Delivered,已送達,
parcel_outgoing,string,,Outgoing,寄出,
parcel_letters,string,,Letters,信件,
parcel_mail,string,,Mail,郵件,
parcel_summary,string,,%1$d incoming · %2$d outgoing,%1$d 件寄送中・%2$d 件寄出,keep %1$d %2$d
parcel_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d 件寄送中・%2$d 件寄出・%3$d 封信件,keep %1$d %2$d %3$d
parcel_carrier_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d 件寄送中・%2$d 件寄出・%3$d 封信件,keep %1$d %2$d %3$d
parcel_summary_with_letter_count,string,,%1$d incoming · %2$d outgoing · %3$s,%1$d 件寄送中・%2$d 件寄出・%3$s,keep %1$d %2$d %3$s
parcel_tracking_history,string,,Tracking history,追蹤紀錄,
parcel_tracking_history_subtitle,string,,Parcel journey and status updates,包裹運送過程與狀態更新,
parcel_choose_carrier_account,string,,Choose a carrier account,選擇物流業者帳號,
parcel_tab_count,string,,%1$s (%2$d),%1$s (%2$d),keep %1$s %2$d
parcel_empty_tab,string,,No %1$s parcels.,沒有%1$s包裹。,keep %1$s
parcel_no_incoming,string,,No incoming parcels.,沒有寄送中的包裹。,
parcel_no_delivered,string,,No delivered parcels.,沒有已送達的包裹。,
parcel_no_outgoing,string,,No outgoing parcels.,沒有寄出的包裹。,
parcel_stage_registered,string,,Registered,已登錄,
parcel_stage_sorting,string,,Sorting,分揀中,
parcel_stage_on_the_way,string,,On the way,運送中,
parcel_unknown_status,string,,Unknown status,未知狀態,
parcel_status_in_transit,string,,In transit,運送中,
parcel_status_out_for_delivery,string,,Out for delivery,配送中,
parcel_status_at_pickup_point,string,,Ready at pickup point,已到達取件點,
parcel_status_ready_to_send,string,,Ready to send,待寄出,
parcel_letter_preview,string,,Letter preview,信件預覽,
parcel_carriers,string,,Carriers,物流業者,
parcel_track_new,string,,Track a new %1$s parcel by number,依號碼追蹤新的%1$s包裹,keep %1$s
parcel_choose_carrier,string,,Choose a carrier,選擇物流業者,
parcel_settings_subtitle,string,,"Carrier accounts, aggregation, and appearance",物流業者帳號、彙整方式與外觀,
parcel_settings_accounts,string,,Accounts,帳號,
parcel_settings_organization,string,,Organization,整理方式,
parcel_settings_appearance,string,,Appearance,外觀,
action_remove,string,,Remove,移除,
notification_delete,string,,Delete notification,刪除通知,
notification_mark_all_read,string,,Mark all as read,全部標示為已讀,
notification_mark_all_unread,string,,Mark all as unread,全部標示為未讀,
notification_delete_all,string,,Delete all,全部刪除,
notification_delete_all_archived,string,,Delete all archived,刪除所有已封存項目,
notification_unread,string,,Unread,未讀,
notification_history,string,,History,歷史紀錄,
notification_mark_unread,string,,Mark as unread,標示為未讀,
notification_mark_read,string,,Mark as read,標示為已讀,
notification_archive,string,,Archive,封存,
notification_unarchive,string,,Unarchive,取消封存,
notification_delete_action,string,,Delete,刪除,
entity_search_select_items,string,,Select items,選取項目,
entity_search_choose_one,string,,Search and choose one entity,搜尋並選擇一個實體,
entity_search_choose_multiple,string,,Search and select one or more entities,搜尋並選取一或多個實體,
global_search_title,string,,Search,搜尋,
global_search_subtitle,string,,Find and control any Home Assistant device or entity,尋找並控制任何 Home Assistant 裝置或實體,don't translate Home Assistant
global_search_clear,string,,Clear search,清除搜尋,
global_search_no_devices,string,,No matching devices.,沒有符合的裝置。,
global_search_no_entities,string,,No matching entities.,沒有符合的實體。,
security_title,string,,Security,安全,
security_subtitle,string,,Home status and activity,居家狀態與活動,
security_settings,string,,Security settings,安全設定,
security_entities,string,,Security entities,安全實體,
security_reimport,string,,Re-import,重新匯入,
security_group_doors,string,,Doors,門,
security_group_doors_subtitle,string,,Door contacts,門感測器,
security_group_windows,string,,Windows,窗戶,
security_group_windows_subtitle,string,,Window contacts,窗戶感測器,
security_group_openings,string,,Openings,開口,
security_group_openings_subtitle,string,,Garage doors and other openings,車庫門與其他開口,
security_group_garage_doors,string,,Garage doors,車庫門,
security_group_garage_doors_subtitle,string,,Garage door covers,車庫門遮罩,
security_group_covers,string,,Covers,遮罩,
security_group_covers_subtitle,string,,"Blinds, shutters, and gates",窗簾、百葉窗與閘門,
security_group_locks,string,,Locks,門鎖,
security_group_locks_subtitle,string,,Door and gate locks,門與閘門鎖,
security_group_motion,string,,Motion,動作,
security_group_motion_subtitle,string,,Motion detection,動作偵測,
security_group_presence,string,,Presence,在家狀態,
security_group_presence_subtitle,string,,Occupancy sensors,存在感測器,
security_group_fire,string,,Fire and temperature,火警與溫度,
security_group_fire_subtitle,string,,"Fire, heat, cold, and safety alarms",火警、高溫、低溫與安全警報,
security_group_smoke,string,,Smoke,煙霧,
security_group_smoke_subtitle,string,,Smoke detectors,煙霧偵測器,
security_group_gas,string,,Gas,瓦斯,
security_group_gas_subtitle,string,,Combustible gas sensors,可燃氣體感測器,
security_group_co2,string,,CO / CO₂,CO／CO₂,
security_group_co2_subtitle,string,,Carbon monoxide and carbon dioxide sensors,一氧化碳與二氧化碳感測器,
security_group_moisture,string,,Leaks,滲漏,
security_group_moisture_subtitle,string,,Moisture and water leaks,潮濕與漏水感測器,
security_group_sound,string,,Sound,聲音,
security_group_sound_subtitle,string,,Sound and glass-break sensors,聲音與玻璃破碎感測器,
security_group_light,string,,Light detection,光線偵測,
security_group_light_subtitle,string,,Light and beam sensors,光線與光束感測器,
security_group_alarms,string,,Alarm systems,警報系統,
security_group_alarms_subtitle,string,,Alarm control panels,警報控制面板,
security_group_cameras,string,,Cameras,攝影機,
security_group_cameras_subtitle,string,,Camera feeds,攝影機畫面,
security_no_search_active,string,,No search active · %1$s,未啟用搜尋・%1$s,keep %1$s
security_status_alert,string,,Security alert,安全警示,
security_status_alarm_pending,string,,Alarm pending,警報啟動中,
security_status_changing_alarm,string,,Changing alarm mode,正在變更警報模式,
security_status_needs_attention,string,,Needs attention,需要注意,
security_status_motion,string,,Motion detected,偵測到動作,
security_status_sensor_activity,string,,Sensor activity,感測器活動,
security_status_alarm_unavailable,string,,Alarm unavailable,警報無法使用,
security_status_devices_unavailable,string,,Devices unavailable,裝置無法使用,
security_status_cameras_offline,string,,Cameras offline,攝影機已離線,
security_status_all_secure,string,,All secure,一切安全,
security_status_alarm_disarmed,string,,Alarm disarmed,警報已解除,
security_status_all_clear,string,,All clear,一切正常,
security_status_no_data,string,,No security data,沒有安全資料,
security_metric_openings,string,,Openings,開口,
security_metric_locked,string,,Locked,已上鎖,
security_metric_cameras_online,string,,Cameras online,攝影機連線中,
security_card_title,string,,Security card,安全卡片,
security_card_subtitle,string,,"Name, layout, and card appearance",名稱、版面配置與卡片外觀,
security_stat_total,string,,Total,總計,
security_stat_active,string,,Active,啟用中,
security_stat_clear,string,,Clear,正常,
security_cover_open,string,,Open,開啟,
security_cover_stop,string,,Stop,停止,
security_cover_close,string,,Close,關閉,
security_restore,string,,Restore,還原,
security_empty,string,,This is an empty security view. Swipe down on the header and open Security settings to add entities manually.,這是空的安全檢視畫面。在標題處向下滑動並開啟安全設定，即可手動新增實體。,
connection_stopping_for_restart,string,,Stopping for restart…,正在停止以便重新啟動…,
connection_starting,string,,Home Assistant is starting…,Home Assistant 正在啟動…,don't translate Home Assistant
connection_restoring_dashboard,string,,Restoring your dashboard…,正在還原您的儀表板…,
connection_restarting,string,,Home Assistant is restarting…,Home Assistant 正在重新啟動…,don't translate Home Assistant
connection_auto_generating,string,,Auto-generating rooms and widgets…,正在自動產生房間與小工具…,
connection_reconnecting,string,,Reconnecting to Home Assistant…,正在重新連線至 Home Assistant…,don't translate Home Assistant
connection_unavailable_retrying,string,,Unavailable · Retrying…,無法使用・正在重試…,
connection_paused,string,,Connection paused,連線已暫停,
connection_connected,string,,Connected,已連線,
connection_server_not_found,string,,Server address could not be found,找不到伺服器位址,
connection_timed_out,string,,Connection timed out,連線逾時,
connection_no_route,string,,No network route to Home Assistant,沒有可連往 Home Assistant 的網路路徑,don't translate Home Assistant
connection_could_not_connect,string,,Could not connect to Home Assistant,無法連線至 Home Assistant,don't translate Home Assistant
connection_secure_failed,string,,Secure connection failed,安全連線失敗,
connection_session_expired_refreshing,string,,Session expired · Refreshing login…,工作階段已過期・正在重新整理登入…,
connection_interrupted,string,,Connection was interrupted,連線已中斷,
connection_error_title,string,,Connection error,連線錯誤,
connection_all_systems_normal,string,,All systems normal,系統運作正常,
action_undo,string,,Undo,復原,
action_redo,string,,Redo,重做,
connection_route_local,string,,Local,本機,
connection_route_nabu_casa,string,,Nabu Casa,Nabu Casa,don't translate Nabu Casa
connection_route_external,string,,External,外部,
settings_connection_via,string,,Connected via %1$s,透過 %1$s 連線,keep %1$s
settings_connection_unknown,string,,Unknown,未知,
settings_connection_connecting,string,,Connecting…,連線中…,
settings_this_home,string,,this home,此住家,
settings_current_wifi,string,,Current Wi-Fi,目前 Wi-Fi,
settings_wifi_unavailable,string,,Not connected or location permission is missing,未連線或缺少位置權限,
settings_just_now,string,,just now,剛才,
settings_primary_app_language,string,,Primary application language,主要應用程式語言,
settings_android_build_configuration,string,,Android resources and build configuration,Android 資源與建置設定,
page_settings_default_title,string,,Page settings,頁面設定,
page_settings_choose_area,string,,Choose an area to configure,選擇要設定的區域,
page_settings_focused_options,string,,Focused options for this page area,此頁面區域的專屬選項,
page_settings_header_description,string,,Wallpaper and custom header color,桌布與自訂標題顏色,
page_settings_custom_page_description,string,,"Name, subtitle, and navigation icon",名稱、副標題與導覽圖示,
page_settings_badge_bar,string,,Badge bar,徽章列,
page_settings_badge_description,string,,"Visibility, alignment, and display options",顯示狀態、對齊方式與顯示選項,
page_settings_persons,string,,Persons,成員,
page_settings_persons_description,string,,Visibility and ordering,顯示狀態與排序,
page_settings_configure,string,,Configure,設定,
room_config_title,string,,Room configuration,房間設定,
header_pill_left,string,,Left header pill,左側標題膠囊,
header_pill_right,string,,Right header pill,右側標題膠囊,
alignment_split,string,,Split,分割,
alignment_center,string,,Center,置中,
weather_cloudy,string,,Cloudy,多雲,
home_default_markdown_content,string,,# Markdown\nOpen this widget's settings in **edit mode** to write your own content.,# Markdown\n在**編輯模式**中開啟這個小工具的設定，即可撰寫您自己的內容。,\n = line break
home_settings_title,string,,Home settings,首頁設定,
custom_page_settings_title,string,,%1$s settings,%1$s 設定,keep %1$s
home_empty,string,,This is the homepage. Add widgets by swiping down on the header and enabling edit mode.,這是首頁。在標題處向下滑動並啟用編輯模式即可新增小工具。,
custom_page_empty,string,,This page is empty. Add widgets by swiping down on the header and enabling edit mode.,這個頁面是空的。在標題處向下滑動並啟用編輯模式即可新增小工具。,
select_camera_title,string,,Select camera,選擇攝影機,
select_entity_title,string,,Select entity,選擇實體,
custom_camera_default_name,string,,Custom camera,自訂攝影機,
rooms_settings_title,string,,Rooms settings,房間設定,
rooms_empty,string,,The rooms view is empty. Swipe down on the header and enable edit mode to add floors and rooms.,房間檢視畫面是空的。在標題處向下滑動並啟用編輯模式，即可新增樓層與房間。,
floor_expand,string,,Expand floor,展開樓層,
floor_collapse,string,,Collapse floor,收合樓層,
floor_settings_title,string,,Floor,樓層,
floor_settings_subtitle,string,,"Identity, layout, and card style",識別資訊、版面配置與卡片樣式,
universal_cover_status,string,,%1$d%% · %2$s,%1$d%%・%2$s,keep %1$d %2$s
universal_effects,string,,Effects,效果,
universal_open_door,string,,Open door,開門,
universal_vacuum_dock,string,,Dock,回充,
universal_start,string,,Start,開始,
universal_pause,string,,Pause,暫停,
universal_stop,string,,Stop,停止,
universal_locate,string,,Locate,定位,
universal_room_number,string,,Room %1$d,房間 %1$d,keep %1$d
