key,type,item,english,translation,notes
language_title,string,,Language,Jazyk,
language_display_title,string,,Display language,Jazyk zobrazení,
language_display_subtitle,string,,Follows your device by default; choose one to override it,"Ve výchozím nastavení následuje vaše zařízení; vyberte jednu, kterou chcete přepsat",
language_system,string,,System default,Výchozí nastavení systému,
language_selected,string,,Selected,Vybraný,
nav_home,string,,Home,Domov,
nav_rooms,string,,Rooms,Pokoje,
nav_security,string,,Security,Zabezpečení,
nav_energy,string,,Energy,Energie,
nav_climate,string,,Climate,Podnebí,
nav_battery,string,,Battery,Baterie,
nav_settings,string,,Settings,Nastavení,
nav_room_detail,string,,Room Detail,Detail pokoje,
settings_title_connection,string,,Connection,Spojení,
settings_title_profile,string,,Profile,Profil,
settings_title_location,string,,Location,Umístění,
settings_title_notifications,string,,Notifications,Oznámení,
settings_title_appearance,string,,Appearance,Vzhled,
settings_title_header,string,,Header,Záhlaví,
settings_title_theme,string,,Theme,Téma,
settings_title_fonts,string,,Fonts,Písma,
settings_title_corners,string,,Corners,Rohy,
settings_title_icons,string,,Icons,ikony,
settings_title_nav_bar,string,,Navigation Bar,Navigační lišta,
settings_title_media_players,string,,Media Players,Přehrávače médií,
settings_title_dashboard,string,,Dashboard,Dashboard,
settings_title_family_sharing,string,,Family Sharing,Rodinné sdílení,
settings_title_backup_restore,string,,Backup and Restore,Zálohování a obnovení,
settings_title_account,string,,Account,Účet,
settings_title_about,string,,About HKI 7,O HKI 7,don't translate HKI 7
settings_title_license,string,,License,Licence,
settings_title_support,string,,Support,Podpora,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,"Vše, co utváří váš HKI 7 zážitek",don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,Váš profil a instalace této aplikace,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,Osobní údaje používané na vašem řídicím panelu,
settings_subtitle_connection,string,,Server routes and local-network preferences,Trasy serveru a předvolby místní sítě,
settings_subtitle_location,string,,Presence updates and background access,Aktualizace přítomnosti a přístup na pozadí,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","Řídicí panely, karty, přehrávače médií a vyskakovací okna",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,Nechte palubní desku vypadat jako vy,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","Kulatost tlačítek, karet a widgetů",
settings_subtitle_icons,string,,Icon animations and per-domain effects,Animace ikon a efekty pro jednotlivé domény,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,"Zvolte, zda se má zobrazovat záhlaví řídicího panelu",
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","Barva, kontrast, režim a styling rohů",
settings_subtitle_fonts,string,,"Size, weight, and typeface readability","Velikost, hmotnost a čitelnost písma",
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,"Vyberte si, které destinace jsou vždy na dosah",
settings_subtitle_media_players,string,,Names and mini-player visibility,Jména a viditelnost minihráčů,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior","Push doručení, historii a chování služby",
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,Chraňte nebo přesuňte konfiguraci řídicího panelu,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions","Rodičovská kontrola, sdílení řídicího panelu a oprávnění příjemců",
settings_subtitle_about,string,,"The project, technology, and people behind HKI 7","Projekt, technologie a lidé stojící za HKI 7",don't translate HKI 7
settings_subtitle_license,string,,Open-source community core and optional premium materials,Open source komunitní jádro a volitelné prémiové materiály,
settings_subtitle_support,string,,Ways to help HKI 7 grow without buying Premium,"Způsoby, jak pomoci HKI 7 růst bez nákupu Premium",don't translate HKI 7
notification_channel_general,string,,General,Generál,
location_channel_name,string,,Location sharing,Sdílení polohy,
location_notification_title,string,,Home Assistant location,Home Assistant umístění,don't translate Home Assistant
location_notification_text,string,,Sharing your location with Home Assistant,Sdílení polohy s Home Assistant,don't translate Home Assistant
push_connection_channel_name,string,,Notification connection,Připojení oznámení,
push_connection_notification_title,string,,Connected to Home Assistant,Připojeno k Home Assistant,don't translate Home Assistant
push_connection_notification_text,string,,Listening for notifications,Poslouchání oznámení,
parcel_title,string,,Parcels,Pozemky,
parcel_generic_carrier,string,,Carrier,Dopravce,
parcel_incoming,string,,Incoming,Přicházející,
parcel_delivered,string,,Delivered,Doručeno,
parcel_outgoing,string,,Outgoing,Odchozí,
parcel_letters,string,,Letters,Dopisy,
parcel_mail,string,,Mail,Mail,
parcel_summary,string,,%1$d incoming · %2$d outgoing,%1$d příchozí · %2$d odchozí,keep %1$d %2$d
parcel_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d příchozí · %2$d odchozí · %3$d písmen,keep %1$d %2$d %3$d
parcel_carrier_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d příchozí · %2$d odchozí · %3$d písmen,keep %1$d %2$d %3$d
parcel_summary_with_letter_count,string,,%1$d incoming · %2$d outgoing · %3$s,%1$d příchozí · %2$d odchozí · %3$s,keep %1$d %2$d %3$s
parcel_tracking_history,string,,Tracking history,Historie sledování,
parcel_tracking_history_subtitle,string,,Parcel journey and status updates,Aktualizace cesty balíku a stavu,
parcel_choose_carrier_account,string,,Choose a carrier account,Vyberte účet operátora,
parcel_tab_count,string,,%1$s (%2$d),%1$s (%2$d),keep %1$s %2$d
parcel_empty_tab,string,,No %1$s parcels.,Žádné %1$s balíky.,keep %1$s
parcel_no_incoming,string,,No incoming parcels.,Žádné příchozí balíčky.,
parcel_no_delivered,string,,No delivered parcels.,Žádné doručené balíky.,
parcel_no_outgoing,string,,No outgoing parcels.,Žádné odchozí balíky.,
parcel_stage_registered,string,,Registered,Registrovaný,
parcel_stage_sorting,string,,Sorting,Řazení,
parcel_stage_on_the_way,string,,On the way,Na cestě,
parcel_unknown_status,string,,Unknown status,Neznámý stav,
parcel_status_in_transit,string,,In transit,V tranzitu,
parcel_status_out_for_delivery,string,,Out for delivery,Ven k doručení,
parcel_status_at_pickup_point,string,,Ready at pickup point,Připraveno v místě vyzvednutí,
parcel_status_ready_to_send,string,,Ready to send,Připraveno k odeslání,
parcel_letter_preview,string,,Letter preview,Náhled dopisu,
parcel_carriers,string,,Carriers,Nosiče,
parcel_track_new,string,,Track a new %1$s parcel by number,Sledujte nový balík %1$s podle čísla,keep %1$s
parcel_choose_carrier,string,,Choose a carrier,Vyberte dopravce,
parcel_settings_subtitle,string,,"Carrier accounts, aggregation, and appearance","Účty operátora, agregace a vzhled",
parcel_settings_accounts,string,,Accounts,Účty,
parcel_settings_organization,string,,Organization,Organizace,
parcel_settings_appearance,string,,Appearance,Vzhled,
action_remove,string,,Remove,Odstranit,
notification_delete,string,,Delete notification,Smazat oznámení,
notification_mark_all_read,string,,Mark all as read,Označit vše jako přečtené,
notification_mark_all_unread,string,,Mark all as unread,Označit vše jako nepřečtené,
notification_delete_all,string,,Delete all,Smazat vše,
notification_delete_all_archived,string,,Delete all archived,Smazat vše archivované,
notification_unread,string,,Unread,Nepřečtený,
notification_history,string,,History,Dějiny,
notification_mark_unread,string,,Mark as unread,Označit jako nepřečtené,
notification_mark_read,string,,Mark as read,Označit jako přečtené,
notification_archive,string,,Archive,Archiv,
notification_unarchive,string,,Unarchive,Zrušit archivaci,
notification_delete_action,string,,Delete,Vymazat,
entity_search_select_items,string,,Select items,Vyberte položky,
entity_search_choose_one,string,,Search and choose one entity,Vyhledejte a vyberte jednu entitu,
entity_search_choose_multiple,string,,Search and select one or more entities,Vyhledejte a vyberte jednu nebo více entit,
global_search_title,string,,Search,Vyhledávání,
global_search_subtitle,string,,Find and control any Home Assistant device or entity,Najděte a ovládejte jakékoli Home Assistant zařízení nebo entitu,don't translate Home Assistant
global_search_clear,string,,Clear search,Vymazat vyhledávání,
global_search_no_devices,string,,No matching devices.,Žádná odpovídající zařízení.,
global_search_no_entities,string,,No matching entities.,Žádné odpovídající entity.,
security_title,string,,Security,Zabezpečení,
security_subtitle,string,,Home status and activity,Stav a aktivita domova,
security_settings,string,,Security settings,Nastavení zabezpečení,
security_entities,string,,Security entities,Bezpečnostní subjekty,
security_reimport,string,,Re-import,Znovu importovat,
security_group_doors,string,,Doors,Dveře,
security_group_doors_subtitle,string,,Door contacts,Dveřní kontakty,
security_group_windows,string,,Windows,Windows,
security_group_windows_subtitle,string,,Window contacts,Okenní kontakty,
security_group_openings,string,,Openings,Otvory,
