key,type,item,english,translation,notes
language_title,string,,Language,Nyelv,
language_display_title,string,,Display language,Megjelenítési nyelv,
language_display_subtitle,string,,Follows your device by default; choose one to override it,Alapértelmezés szerint követi az eszközt; válasszon egyet a felülbíráláshoz,
language_system,string,,System default,Rendszer alapértelmezett,
language_selected,string,,Selected,Kiválasztott,
nav_home,string,,Home,Otthon,
nav_rooms,string,,Rooms,Szobák,
nav_security,string,,Security,Biztonság,
nav_energy,string,,Energy,Energia,
nav_climate,string,,Climate,Éghajlat,
nav_battery,string,,Battery,Akkumulátor,
nav_settings,string,,Settings,Beállítások elemre,
nav_room_detail,string,,Room Detail,Szobarészlet,
settings_title_connection,string,,Connection,Kapcsolat,
settings_title_profile,string,,Profile,Profil,
settings_title_location,string,,Location,Elhelyezkedés,
settings_title_notifications,string,,Notifications,Értesítések,
settings_title_appearance,string,,Appearance,Megjelenés,
settings_title_header,string,,Header,Fejléc,
settings_title_theme,string,,Theme,Téma,
settings_title_fonts,string,,Fonts,Betűtípusok,
settings_title_corners,string,,Corners,Sarkok,
settings_title_icons,string,,Icons,Ikonok,
settings_title_nav_bar,string,,Navigation Bar,Navigációs sáv,
settings_title_media_players,string,,Media Players,Médialejátszók,
settings_title_dashboard,string,,Dashboard,Műszerfal,
settings_title_family_sharing,string,,Family Sharing,Családi megosztás,
settings_title_backup_restore,string,,Backup and Restore,Biztonsági mentés és visszaállítás,
settings_title_account,string,,Account,fiók,
settings_title_about,string,,About HKI 7,Körülbelül HKI 7,don't translate HKI 7
settings_title_license,string,,License,Engedély,
settings_title_support,string,,Support,Támogatás,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,"Minden, ami alakítja a HKI 7 élményét",don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,Az Ön profilja és az alkalmazás telepítése,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,Az irányítópulton használt személyes adatok,
settings_subtitle_connection,string,,Server routes and local-network preferences,Szerverútvonalak és helyi hálózati beállítások,
settings_subtitle_location,string,,Presence updates and background access,Jelenlétfrissítések és hozzáférés a háttérben,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","Irányítópultok, lapok, médialejátszók és előugró ablakok",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,Tedd a műszerfalat a tiednek,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","Gombok, kártyák és widgetek kereksége",
settings_subtitle_icons,string,,Icon animations and per-domain effects,Ikonanimációk és tartományonkénti effektusok,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,"Válassza ki, hogy megjelenjen-e az irányítópult fejléce",
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","Szín, kontraszt, mód és sarokstílus",
settings_subtitle_fonts,string,,"Size, weight, and typeface readability","Méret, súly és betűtípus olvashatósága",
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,"Válassza ki, mely úti célok mindig elérhetőek",
settings_subtitle_media_players,string,,Names and mini-player visibility,Nevek és mini-lejátszó láthatósága,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior","Push kézbesítés, előzmények és szolgáltatási viselkedés",
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,Védje vagy helyezze át a műszerfal konfigurációját,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions","Szülői felügyelet, az irányítópult megosztása és a címzettek engedélyei",
settings_subtitle_about,string,,"The project, technology, and people behind HKI 7","A projekt, a technológia és az emberek a HKI 7 mögött",don't translate HKI 7
settings_subtitle_license,string,,Open-source community core and optional premium materials,Nyílt forráskódú közösségi mag és opcionális prémium anyagok,
settings_subtitle_support,string,,Ways to help HKI 7 grow without buying Premium,Módszerek a HKI 7 növekedéséhez prémium vásárlás nélkül,don't translate HKI 7
notification_channel_general,string,,General,Általános,
location_channel_name,string,,Location sharing,Helymegosztás,
location_notification_title,string,,Home Assistant location,Home Assistant hely,don't translate Home Assistant
location_notification_text,string,,Sharing your location with Home Assistant,Tartózkodási hely megosztása a következővel: Home Assistant,don't translate Home Assistant
push_connection_channel_name,string,,Notification connection,Értesítési kapcsolat,
push_connection_notification_title,string,,Connected to Home Assistant,Csatlakozva a következőhöz: Home Assistant,don't translate Home Assistant
push_connection_notification_text,string,,Listening for notifications,Figyeli az értesítéseket,
parcel_title,string,,Parcels,Csomagok,
parcel_generic_carrier,string,,Carrier,Hordozó,
parcel_incoming,string,,Incoming,Bejövő,
parcel_delivered,string,,Delivered,Szállítva,
parcel_outgoing,string,,Outgoing,Kimenő,
parcel_letters,string,,Letters,Levelek,
parcel_mail,string,,Mail,Felad,
parcel_summary,string,,%1$d incoming · %2$d outgoing,%1$d bejövő · %2$d kimenő,keep %1$d %2$d
parcel_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d bejövő · %2$d kimenő · %3$d levél,keep %1$d %2$d %3$d
parcel_carrier_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d bejövő · %2$d kimenő · %3$d levél,keep %1$d %2$d %3$d
parcel_summary_with_letter_count,string,,%1$d incoming · %2$d outgoing · %3$s,%1$d bejövő · %2$d kimenő · %3$s,keep %1$d %2$d %3$s
parcel_tracking_history,string,,Tracking history,Nyomon követési előzmények,
parcel_tracking_history_subtitle,string,,Parcel journey and status updates,Csomagútvonal és állapotfrissítések,
parcel_choose_carrier_account,string,,Choose a carrier account,Válasszon szolgáltatói fiókot,
parcel_tab_count,string,,%1$s (%2$d),%1$s (%2$d),keep %1$s %2$d
parcel_empty_tab,string,,No %1$s parcels.,Nincsenek %1$s csomagok.,keep %1$s
parcel_no_incoming,string,,No incoming parcels.,Nincs bejövő csomag.,
parcel_no_delivered,string,,No delivered parcels.,Nincs kézbesített csomag.,
parcel_no_outgoing,string,,No outgoing parcels.,Nincs kimenő csomag.,
parcel_stage_registered,string,,Registered,Bejegyzett,
parcel_stage_sorting,string,,Sorting,Osztályozás,
parcel_stage_on_the_way,string,,On the way,Úton,
parcel_unknown_status,string,,Unknown status,Ismeretlen állapot,
parcel_status_in_transit,string,,In transit,Átszállításban,
parcel_status_out_for_delivery,string,,Out for delivery,Kiszállításra,
parcel_status_at_pickup_point,string,,Ready at pickup point,Készen áll az átvételi ponton,
parcel_status_ready_to_send,string,,Ready to send,Küldésre kész,
parcel_letter_preview,string,,Letter preview,Levél előnézete,
parcel_carriers,string,,Carriers,Hordozók,
parcel_track_new,string,,Track a new %1$s parcel by number,Kövesse nyomon az új %1$s csomagot szám szerint,keep %1$s
parcel_choose_carrier,string,,Choose a carrier,Válasszon szolgáltatót,
parcel_settings_subtitle,string,,"Carrier accounts, aggregation, and appearance","Szolgáltatói számlák, összesítés és megjelenés",
parcel_settings_accounts,string,,Accounts,Fiókok,
parcel_settings_organization,string,,Organization,Szervezet,
parcel_settings_appearance,string,,Appearance,Megjelenés,
action_remove,string,,Remove,Távolítsa el,
notification_delete,string,,Delete notification,Értesítés törlése,
notification_mark_all_read,string,,Mark all as read,Az összes megjelölése olvasottként,
notification_mark_all_unread,string,,Mark all as unread,Az összes megjelölése olvasatlanként,
notification_delete_all,string,,Delete all,Az összes törlése,
notification_delete_all_archived,string,,Delete all archived,Az összes archivált törlése,
notification_unread,string,,Unread,Nem olvasott,
notification_history,string,,History,Történelem,
notification_mark_unread,string,,Mark as unread,Megjelölés olvasatlanként,
notification_mark_read,string,,Mark as read,Megjelölés olvasottként,
notification_archive,string,,Archive,Archívum,
notification_unarchive,string,,Unarchive,Archiválás megszüntetése,
notification_delete_action,string,,Delete,Töröl,
entity_search_select_items,string,,Select items,Válassza ki az elemeket,
entity_search_choose_one,string,,Search and choose one entity,Keressen és válasszon egy entitást,
