key,type,item,english,translation,notes
language_title,string,,Language,언어,
language_display_title,string,,Display language,표시 언어,
language_display_subtitle,string,,Follows your device by default; choose one to override it,기본적으로 기기 설정을 따릅니다. 재정의하려면 하나를 선택하세요,
language_system,string,,System default,시스템 기본값,
language_selected,string,,Selected,선택됨,
nav_home,string,,Home,홈,
nav_rooms,string,,Rooms,방,
nav_security,string,,Security,보안,
nav_energy,string,,Energy,에너지,
nav_climate,string,,Climate,공조,
nav_battery,string,,Battery,배터리,
nav_settings,string,,Settings,설정,
nav_room_detail,string,,Room Detail,방 상세,
settings_title_connection,string,,Connection,연결,
settings_title_profile,string,,Profile,프로필,
settings_title_location,string,,Location,위치,
settings_title_notifications,string,,Notifications,알림,
settings_title_appearance,string,,Appearance,모양,
settings_title_header,string,,Header,헤더,
settings_title_theme,string,,Theme,테마,
settings_title_fonts,string,,Fonts,글꼴,
settings_title_corners,string,,Corners,모서리,
settings_title_icons,string,,Icons,아이콘,
settings_title_nav_bar,string,,Navigation Bar,탐색 바,
settings_title_media_players,string,,Media Players,미디어 플레이어,
settings_title_dashboard,string,,Dashboard,대시보드,
settings_title_family_sharing,string,,Family Sharing,가족 공유,
settings_title_backup_restore,string,,Backup and Restore,백업 및 복원,
settings_title_account,string,,Account,계정,
settings_title_about,string,,About HKI 7,HKI 7 정보,don't translate HKI 7
settings_title_license,string,,License,라이선스,
settings_title_support,string,,Support,지원,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,HKI 7 경험을 구성하는 모든 것,don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,프로필 및 이 앱 설치 정보,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,대시보드 전반에서 사용되는 개인 정보,
settings_subtitle_connection,string,,Server routes and local-network preferences,서버 경로 및 로컬 네트워크 환경설정,
settings_subtitle_location,string,,Presence updates and background access,위치 업데이트 및 백그라운드 접근,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","대시보드, 탭, 미디어 플레이어 및 팝업",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,대시보드를 나만의 스타일로 꾸며보세요,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","버튼, 카드, 위젯의 모서리 둥글기",
settings_subtitle_icons,string,,Icon animations and per-domain effects,아이콘 애니메이션 및 도메인별 효과,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,대시보드 헤더 표시 여부 선택,
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","색상, 대비, 모드, 모서리 스타일",
settings_subtitle_fonts,string,,"Size, weight, and typeface readability","글꼴 크기, 굵기, 가독성",
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,항상 표시할 대상을 선택하세요,
settings_subtitle_media_players,string,,Names and mini-player visibility,이름 및 미니 플레이어 표시 여부,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior","푸시 전달, 기록, 서비스 동작",
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,대시보드 구성을 보호하거나 이동하세요,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions","자녀 보호, 대시보드 공유, 수신자 권한",
settings_subtitle_about,string,,"The project, technology, and people behind HKI 7","HKI 7의 프로젝트, 기술, 그리고 참여자",don't translate HKI 7
settings_subtitle_license,string,,Open-source community core and optional premium materials,오픈소스 커뮤니티 코어 및 선택적 프리미엄 자료,
settings_subtitle_support,string,,Ways to help HKI 7 grow without buying Premium,프리미엄 구매 없이 HKI 7의 성장을 돕는 방법,don't translate HKI 7
notification_channel_general,string,,General,일반,
location_channel_name,string,,Location sharing,위치 공유,
location_notification_title,string,,Home Assistant location,Home Assistant 위치,don't translate Home Assistant
location_notification_text,string,,Sharing your location with Home Assistant,Home Assistant와 위치를 공유하는 중,don't translate Home Assistant
push_connection_channel_name,string,,Notification connection,알림 연결,
push_connection_notification_title,string,,Connected to Home Assistant,Home Assistant에 연결됨,don't translate Home Assistant
push_connection_notification_text,string,,Listening for notifications,알림을 수신하는 중,
parcel_title,string,,Parcels,택배,
parcel_generic_carrier,string,,Carrier,택배사,
parcel_incoming,string,,Incoming,수신,
parcel_delivered,string,,Delivered,배송 완료,
parcel_outgoing,string,,Outgoing,발신,
parcel_letters,string,,Letters,우편,
parcel_mail,string,,Mail,우편함,
parcel_summary,string,,%1$d incoming · %2$d outgoing,수신 %1$d · 발신 %2$d,keep %1$d %2$d
parcel_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,수신 %1$d · 발신 %2$d · 우편 %3$d,keep %1$d %2$d %3$d
parcel_carrier_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,수신 %1$d · 발신 %2$d · 우편 %3$d,keep %1$d %2$d %3$d
parcel_summary_with_letter_count,string,,%1$d incoming · %2$d outgoing · %3$s,수신 %1$d · 발신 %2$d · %3$s,keep %1$d %2$d %3$s
parcel_tracking_history,string,,Tracking history,배송 조회 기록,
