key,type,item,english,translation,notes
language_title,string,,Language,Keel,
language_display_title,string,,Display language,Kuvamise keel,
language_display_subtitle,string,,Follows your device by default; choose one to override it,Jälgib vaikimisi teie seadet; valige üks selle tühistamiseks,
language_system,string,,System default,Süsteemi vaikeseade,
language_selected,string,,Selected,Valitud,
nav_home,string,,Home,Kodu,
nav_rooms,string,,Rooms,Toad,
nav_security,string,,Security,Turvalisus,
nav_energy,string,,Energy,Energia,
nav_climate,string,,Climate,Kliima,
nav_battery,string,,Battery,Aku,
nav_settings,string,,Settings,Seaded,
nav_room_detail,string,,Room Detail,Ruumi detailid,
settings_title_connection,string,,Connection,Ühendus,
settings_title_profile,string,,Profile,Profiil,
settings_title_location,string,,Location,Asukoht,
settings_title_notifications,string,,Notifications,Märguanded,
settings_title_appearance,string,,Appearance,Välimus,
settings_title_header,string,,Header,Päis,
settings_title_theme,string,,Theme,Teema,
settings_title_fonts,string,,Fonts,Fondid,
settings_title_corners,string,,Corners,Nurgad,
settings_title_icons,string,,Icons,Ikoonid,
settings_title_nav_bar,string,,Navigation Bar,Navigeerimisriba,
settings_title_media_players,string,,Media Players,Meediamängijad,
settings_title_dashboard,string,,Dashboard,Armatuurlaud,
settings_title_family_sharing,string,,Family Sharing,Perekonna jagamine,
settings_title_backup_restore,string,,Backup and Restore,Varundamine ja taastamine,
settings_title_account,string,,Account,konto,
settings_title_about,string,,About HKI 7,Umbes HKI 7,don't translate HKI 7
settings_title_license,string,,License,Litsents,
settings_title_support,string,,Support,Toetus,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,"Kõik, mis kujundab teie HKI 7 kogemust",don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,Teie profiil ja see rakenduse installimine,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,"Isikuandmed, mida kasutatakse kogu teie juhtpaneelil",
settings_subtitle_connection,string,,Server routes and local-network preferences,Serveri marsruudid ja kohaliku võrgu eelistused,
settings_subtitle_location,string,,Presence updates and background access,Kohaloleku värskendused ja juurdepääs taustal,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups","Armatuurlauad, vahelehed, meediumipleierid ja hüpikaknad",
settings_subtitle_appearance,string,,Make the dashboard feel like yours,Muutke armatuurlaud enda omaks,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets","Nuppude, kaartide ja vidinate ümarus",
settings_subtitle_icons,string,,Icon animations and per-domain effects,Ikooni animatsioonid ja domeenipõhised efektid,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,"Valige, kas armatuurlaua päist kuvatakse",
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling","Värv, kontrast, režiim ja nurga stiil",
settings_subtitle_fonts,string,,"Size, weight, and typeface readability","Suurus, kaal ja kirjatüübi loetavus",
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,"Valige, millised sihtkohad on alati käeulatuses",
settings_subtitle_media_players,string,,Names and mini-player visibility,Nimed ja minimängija nähtavus,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior","Tõuke edastamine, ajalugu ja teeninduskäitumine",
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,Kaitske või teisaldage oma armatuurlaua konfiguratsiooni,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions","Vanemlik järelevalve, armatuurlaua jagamine ja adressaatide load",
settings_subtitle_about,string,,"The project, technology, and people behind HKI 7","Projekt, tehnoloogia ja inimesed HKI 7 taga",don't translate HKI 7
settings_subtitle_license,string,,Open-source community core and optional premium materials,Avatud lähtekoodiga kogukonna tuum ja valikulised esmaklassilised materjalid,
