key,type,item,english,translation,notes
language_title,string,,Language,لغة,
language_display_title,string,,Display language,لغة العرض,
language_display_subtitle,string,,Follows your device by default; choose one to override it,يتبع جهازك بشكل افتراضي؛ اختر واحدًا لتجاوزه,
language_system,string,,System default,الافتراضي للنظام,
language_selected,string,,Selected,مختارة,
nav_home,string,,Home,بيت,
nav_rooms,string,,Rooms,الغرف,
nav_security,string,,Security,حماية,
nav_energy,string,,Energy,طاقة,
nav_climate,string,,Climate,مناخ,
nav_battery,string,,Battery,بطارية,
nav_settings,string,,Settings,إعدادات,
nav_room_detail,string,,Room Detail,تفاصيل الغرفة,
settings_title_connection,string,,Connection,اتصال,
settings_title_profile,string,,Profile,حساب تعريفي,
settings_title_location,string,,Location,موقع,
settings_title_notifications,string,,Notifications,إشعارات,
settings_title_appearance,string,,Appearance,مظهر,
settings_title_header,string,,Header,رأس,
settings_title_theme,string,,Theme,سمة,
settings_title_fonts,string,,Fonts,الخطوط,
settings_title_corners,string,,Corners,زوايا,
settings_title_icons,string,,Icons,أيقونات,
settings_title_nav_bar,string,,Navigation Bar,شريط التنقل,
settings_title_media_players,string,,Media Players,مشغلات الوسائط,
settings_title_dashboard,string,,Dashboard,لوحة القيادة,
settings_title_family_sharing,string,,Family Sharing,مشاركة العائلة,
settings_title_backup_restore,string,,Backup and Restore,النسخ الاحتياطي والاستعادة,
settings_title_account,string,,Account,حساب,
settings_title_about,string,,About HKI 7,حول HKI 7,don't translate HKI 7
settings_title_license,string,,License,رخصة,
settings_title_support,string,,Support,يدعم,
settings_subtitle_menu,string,,Everything that shapes your HKI 7 experience,كل ما يشكل تجربة HKI 7 الخاصة بك,don't translate HKI 7
settings_subtitle_account,string,,Your profile and this app installation,ملف التعريف الخاص بك وتثبيت هذا التطبيق,
settings_subtitle_profile,string,,Personal details used throughout your dashboard,التفاصيل الشخصية المستخدمة في لوحة القيادة الخاصة بك,
settings_subtitle_connection,string,,Server routes and local-network preferences,مسارات الخادم وتفضيلات الشبكة المحلية,
settings_subtitle_location,string,,Presence updates and background access,تحديثات التواجد والوصول إلى الخلفية,
settings_subtitle_dashboard,string,,"Dashboards, tabs, media players, and popups",لوحات المعلومات وعلامات التبويب ومشغلات الوسائط والنوافذ المنبثقة,
settings_subtitle_appearance,string,,Make the dashboard feel like yours,اجعل لوحة القيادة تبدو وكأنها ملكك,
settings_subtitle_corners,string,,"Roundness of buttons, cards, and widgets",استدارة الأزرار والبطاقات والحاجيات,
settings_subtitle_icons,string,,Icon animations and per-domain effects,الرسوم المتحركة للأيقونات والتأثيرات لكل مجال,
settings_subtitle_header,string,,Choose whether the dashboard header is shown,اختر ما إذا كان سيتم عرض رأس لوحة المعلومات أم لا,
settings_subtitle_theme,string,,"Color, contrast, mode, and corner styling",اللون والتباين والوضع وتصميم الزاوية,
settings_subtitle_fonts,string,,"Size, weight, and typeface readability",الحجم والوزن وسهولة قراءة المحرف,
settings_subtitle_nav_bar,string,,Choose which destinations are always within reach,اختر الوجهات التي تكون دائمًا في متناول يدك,
settings_subtitle_media_players,string,,Names and mini-player visibility,الأسماء وإمكانية رؤية اللاعب المصغر,
settings_subtitle_notifications,string,,"Push delivery, history, and service behavior",دفع التسليم والتاريخ وسلوك الخدمة,
settings_subtitle_backup_restore,string,,Protect or move your dashboard configuration,حماية أو نقل تكوين لوحة القيادة الخاصة بك,
settings_subtitle_family_sharing,string,,"Parental controls, dashboard sharing, and recipient permissions",أدوات الرقابة الأبوية ومشاركة لوحة المعلومات وأذونات المستلم,
settings_subtitle_about,string,,"The project, technology, and people behind HKI 7",المشروع والتكنولوجيا والأشخاص الذين يقفون وراء HKI 7,don't translate HKI 7
settings_subtitle_license,string,,Open-source community core and optional premium materials,المجتمع الأساسي مفتوح المصدر والمواد المتميزة الاختيارية,
settings_subtitle_support,string,,Ways to help HKI 7 grow without buying Premium,طرق لمساعدة HKI 7 على النمو دون شراء Premium,don't translate HKI 7
notification_channel_general,string,,General,عام,
location_channel_name,string,,Location sharing,مشاركة الموقع,
location_notification_title,string,,Home Assistant location,Home Assistant الموقع,don't translate Home Assistant
location_notification_text,string,,Sharing your location with Home Assistant,مشاركة موقعك مع Home Assistant,don't translate Home Assistant
push_connection_channel_name,string,,Notification connection,اتصال الإخطار,
push_connection_notification_title,string,,Connected to Home Assistant,متصل بـ Home Assistant,don't translate Home Assistant
push_connection_notification_text,string,,Listening for notifications,الاستماع للإخطارات,
parcel_title,string,,Parcels,الطرود,
parcel_generic_carrier,string,,Carrier,الناقل,
parcel_incoming,string,,Incoming,وارد,
parcel_delivered,string,,Delivered,تم التوصيل,
parcel_outgoing,string,,Outgoing,المنتهية ولايته,
parcel_letters,string,,Letters,رسائل,
parcel_mail,string,,Mail,بريد,
parcel_summary,string,,%1$d incoming · %2$d outgoing,%1$d وارد · %2$d صادر,keep %1$d %2$d
parcel_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d وارد · %2$d صادر · %3$d رسائل,keep %1$d %2$d %3$d
parcel_carrier_summary_with_letters,string,,%1$d incoming · %2$d outgoing · %3$d letters,%1$d وارد · %2$d صادر · %3$d رسائل,keep %1$d %2$d %3$d
parcel_summary_with_letter_count,string,,%1$d incoming · %2$d outgoing · %3$s,%1$d وارد · %2$d صادر · %3$s,keep %1$d %2$d %3$s
parcel_tracking_history,string,,Tracking history,تتبع التاريخ,
parcel_tracking_history_subtitle,string,,Parcel journey and status updates,رحلة الطرود وتحديثات الحالة,
parcel_choose_carrier_account,string,,Choose a carrier account,اختر حساب الناقل,
parcel_tab_count,string,,%1$s (%2$d),%1$s (%2$d),keep %1$s %2$d
parcel_empty_tab,string,,No %1$s parcels.,لا يوجد %1$s طرود.,keep %1$s
parcel_no_incoming,string,,No incoming parcels.,لا الطرود الواردة.,
parcel_no_delivered,string,,No delivered parcels.,لا الطرود المسلمة.,
parcel_no_outgoing,string,,No outgoing parcels.,لا الطرود الصادرة.,
parcel_stage_registered,string,,Registered,مسجل,
parcel_stage_sorting,string,,Sorting,فرز,
parcel_stage_on_the_way,string,,On the way,على الطريق,
parcel_unknown_status,string,,Unknown status,حالة غير معروفة,
parcel_status_in_transit,string,,In transit,في مرحلة انتقالية,
parcel_status_out_for_delivery,string,,Out for delivery,خارج للتسليم,
parcel_status_at_pickup_point,string,,Ready at pickup point,جاهز عند نقطة الالتقاط,
parcel_status_ready_to_send,string,,Ready to send,جاهز للإرسال,
parcel_letter_preview,string,,Letter preview,معاينة الرسالة,
parcel_carriers,string,,Carriers,شركات النقل,
parcel_track_new,string,,Track a new %1$s parcel by number,تتبع طرد %1$s الجديد حسب الرقم,keep %1$s
parcel_choose_carrier,string,,Choose a carrier,اختر الناقل,
parcel_settings_subtitle,string,,"Carrier accounts, aggregation, and appearance",حسابات الناقل والتجميع والمظهر,
parcel_settings_accounts,string,,Accounts,الحسابات,
parcel_settings_organization,string,,Organization,منظمة,
parcel_settings_appearance,string,,Appearance,مظهر,
action_remove,string,,Remove,يزيل,
notification_delete,string,,Delete notification,حذف الإخطار,
notification_mark_all_read,string,,Mark all as read,وضع علامة على الكل كمقروءة,
notification_mark_all_unread,string,,Mark all as unread,وضع علامة على الكل كغير مقروءة,
notification_delete_all,string,,Delete all,احذف الكل,
notification_delete_all_archived,string,,Delete all archived,حذف كافة المؤرشفة,
notification_unread,string,,Unread,غير مقروءة,
notification_history,string,,History,تاريخ,
notification_mark_unread,string,,Mark as unread,وضع علامة كغير مقروءة,
notification_mark_read,string,,Mark as read,وضع علامة كمقروءة,
notification_archive,string,,Archive,أرشيف,
notification_unarchive,string,,Unarchive,إلغاء الأرشفة,
notification_delete_action,string,,Delete,يمسح,
entity_search_select_items,string,,Select items,حدد العناصر,
entity_search_choose_one,string,,Search and choose one entity,بحث واختيار كيان واحد,
entity_search_choose_multiple,string,,Search and select one or more entities,ابحث وحدد كيانًا واحدًا أو أكثر,
global_search_title,string,,Search,يبحث,
global_search_subtitle,string,,Find and control any Home Assistant device or entity,ابحث عن أي جهاز أو كيان Home Assistant والتحكم فيه,don't translate Home Assistant
global_search_clear,string,,Clear search,مسح البحث,
global_search_no_devices,string,,No matching devices.,لا توجد أجهزة مطابقة.,
global_search_no_entities,string,,No matching entities.,لا توجد كيانات مطابقة.,
security_title,string,,Security,حماية,
security_subtitle,string,,Home status and activity,حالة المنزل والنشاط,
security_settings,string,,Security settings,إعدادات الأمان,
security_entities,string,,Security entities,الجهات الأمنية,
security_reimport,string,,Re-import,إعادة الاستيراد,
security_group_doors,string,,Doors,أبواب,
security_group_doors_subtitle,string,,Door contacts,اتصالات الباب,
security_group_windows,string,,Windows,ويندوز,
security_group_windows_subtitle,string,,Window contacts,اتصالات النافذة,
security_group_openings,string,,Openings,الفتحات,
security_group_openings_subtitle,string,,Garage doors and other openings,أبواب المرآب والفتحات الأخرى,
security_group_garage_doors,string,,Garage doors,أبواب المرآب,
security_group_garage_doors_subtitle,string,,Garage door covers,أغطية أبواب المرآب,
security_group_covers,string,,Covers,يغطي,
security_group_covers_subtitle,string,,"Blinds, shutters, and gates",الستائر والمصاريع والبوابات,
security_group_locks,string,,Locks,أقفال,
security_group_locks_subtitle,string,,Door and gate locks,أقفال الأبواب والبوابات,
security_group_motion,string,,Motion,حركة,
security_group_motion_subtitle,string,,Motion detection,كشف الحركة,
security_group_presence,string,,Presence,حضور,
security_group_presence_subtitle,string,,Occupancy sensors,أجهزة استشعار الإشغال,
security_group_fire,string,,Fire and temperature,النار ودرجة الحرارة,
security_group_fire_subtitle,string,,"Fire, heat, cold, and safety alarms",أجهزة إنذار للحريق والحرارة والبرد والسلامة,
security_group_smoke,string,,Smoke,دخان,
security_group_smoke_subtitle,string,,Smoke detectors,أجهزة كشف الدخان,
security_group_gas,string,,Gas,الغاز,
security_group_gas_subtitle,string,,Combustible gas sensors,أجهزة استشعار الغاز القابلة للاحتراق,
security_group_co2,string,,CO / CO₂,ثاني أكسيد الكربون / ثاني أكسيد الكربون,
security_group_co2_subtitle,string,,Carbon monoxide and carbon dioxide sensors,أجهزة استشعار أول أكسيد الكربون وثاني أكسيد الكربون,
security_group_moisture,string,,Leaks,التسريبات,
security_group_moisture_subtitle,string,,Moisture and water leaks,الرطوبة وتسرب المياه,
security_group_sound,string,,Sound,صوت,
security_group_sound_subtitle,string,,Sound and glass-break sensors,حساسات الصوت وكسر الزجاج,
security_group_light,string,,Light detection,كشف الضوء,
security_group_light_subtitle,string,,Light and beam sensors,أجهزة استشعار الضوء والشعاع,
security_group_alarms,string,,Alarm systems,أنظمة الإنذار,
security_group_alarms_subtitle,string,,Alarm control panels,لوحات التحكم بالإنذار,
security_group_cameras,string,,Cameras,الكاميرات,
security_group_cameras_subtitle,string,,Camera feeds,يغذي الكاميرا,
security_no_search_active,string,,No search active · %1$s,لا يوجد بحث نشط · %1$s,keep %1$s
security_status_alert,string,,Security alert,تنبيه أمني,
security_status_alarm_pending,string,,Alarm pending,إنذار معلق,
security_status_changing_alarm,string,,Changing alarm mode,تغيير وضع التنبيه,
security_status_needs_attention,string,,Needs attention,يحتاج إلى اهتمام,
security_status_motion,string,,Motion detected,تم الكشف عن الحركة,
security_status_sensor_activity,string,,Sensor activity,نشاط الاستشعار,
security_status_alarm_unavailable,string,,Alarm unavailable,التنبيه غير متاح,
security_status_devices_unavailable,string,,Devices unavailable,الأجهزة غير متوفرة,
security_status_cameras_offline,string,,Cameras offline,الكاميرات حاليا,
security_status_all_secure,string,,All secure,كل شيء آمن,
security_status_alarm_disarmed,string,,Alarm disarmed,تم تعطيل الإنذار,
security_status_all_clear,string,,All clear,كل شيء واضح,
security_status_no_data,string,,No security data,لا توجد بيانات أمنية,
security_metric_openings,string,,Openings,الفتحات,
security_metric_locked,string,,Locked,مغلق,
security_metric_cameras_online,string,,Cameras online,كاميرات على الانترنت,
security_card_title,string,,Security card,بطاقة الأمان,
security_card_subtitle,string,,"Name, layout, and card appearance",الاسم والتخطيط ومظهر البطاقة,
security_stat_total,string,,Total,المجموع,
security_stat_active,string,,Active,نشيط,
security_stat_clear,string,,Clear,واضح,
security_cover_open,string,,Open,يفتح,
security_cover_stop,string,,Stop,قف,
security_cover_close,string,,Close,يغلق,
security_restore,string,,Restore,يعيد,
security_empty,string,,This is an empty security view. Swipe down on the header and open Security settings to add entities manually.,هذه وجهة نظر أمنية فارغة. اسحب لأسفل على رأس الصفحة وافتح إعدادات الأمان لإضافة الكيانات يدويًا.,
connection_stopping_for_restart,string,,Stopping for restart…,جارٍ الإيقاف لإعادة التشغيل…,
connection_starting,string,,Home Assistant is starting…,Home Assistant يبدأ...,don't translate Home Assistant
connection_restoring_dashboard,string,,Restoring your dashboard…,جارٍ استعادة لوحة المعلومات...,
connection_restarting,string,,Home Assistant is restarting…,جارٍ إعادة تشغيل Home Assistant...,don't translate Home Assistant
connection_auto_generating,string,,Auto-generating rooms and widgets…,إنشاء الغرف والأدوات تلقائيًا...,
connection_reconnecting,string,,Reconnecting to Home Assistant…,جارٍ إعادة الاتصال بـ Home Assistant...,don't translate Home Assistant
connection_unavailable_retrying,string,,Unavailable · Retrying…,غير متاح · جارٍ إعادة المحاولة...,
connection_paused,string,,Connection paused,تم إيقاف الاتصال مؤقتًا,
connection_connected,string,,Connected,متصل,
connection_server_not_found,string,,Server address could not be found,لا يمكن العثور على عنوان الخادم,
connection_timed_out,string,,Connection timed out,انتهت مهلة الاتصال,
connection_no_route,string,,No network route to Home Assistant,لا يوجد طريق شبكة إلى Home Assistant,don't translate Home Assistant
connection_could_not_connect,string,,Could not connect to Home Assistant,تعذر الاتصال بـ Home Assistant,don't translate Home Assistant
connection_secure_failed,string,,Secure connection failed,فشل الاتصال الآمن,
connection_session_expired_refreshing,string,,Session expired · Refreshing login…,انتهت الجلسة · جارٍ تحديث تسجيل الدخول...,
connection_interrupted,string,,Connection was interrupted,انقطع الاتصال,
connection_error_title,string,,Connection error,خطأ في الاتصال,
connection_all_systems_normal,string,,All systems normal,جميع الأنظمة طبيعية,
action_undo,string,,Undo,تراجع,
action_redo,string,,Redo,إعادة,
connection_route_local,string,,Local,محلي,
connection_route_nabu_casa,string,,Nabu Casa,Nabu Casa,don't translate Nabu Casa
connection_route_external,string,,External,خارجي,
settings_connection_via,string,,Connected via %1$s,متصل عبر %1$s,keep %1$s
settings_connection_unknown,string,,Unknown,مجهول,
settings_connection_connecting,string,,Connecting…,جارٍ الاتصال…,
settings_this_home,string,,this home,هذا المنزل,
settings_current_wifi,string,,Current Wi-Fi,واي فاي الحالي,
settings_wifi_unavailable,string,,Not connected or location permission is missing,غير متصل أو إذن الموقع مفقود,
settings_just_now,string,,just now,الآن,
settings_primary_app_language,string,,Primary application language,لغة التطبيق الأساسية,
settings_android_build_configuration,string,,Android resources and build configuration,موارد Android وبناء التكوين,
page_settings_default_title,string,,Page settings,إعدادات الصفحة,
page_settings_choose_area,string,,Choose an area to configure,اختر منطقة لتكوينها,
page_settings_focused_options,string,,Focused options for this page area,الخيارات المركزة لمنطقة الصفحة هذه,
page_settings_header_description,string,,Wallpaper and custom header color,ورق الحائط ولون الرأس المخصص,
page_settings_custom_page_description,string,,"Name, subtitle, and navigation icon",الاسم والعنوان الفرعي وأيقونة التنقل,
page_settings_badge_bar,string,,Badge bar,شريط الشارة,
page_settings_badge_description,string,,"Visibility, alignment, and display options",خيارات الرؤية والمحاذاة والعرض,
page_settings_persons,string,,Persons,الأشخاص,
page_settings_persons_description,string,,Visibility and ordering,الرؤية والنظام,
page_settings_configure,string,,Configure,تكوين,
room_config_title,string,,Room configuration,تكوين الغرفة,
header_pill_left,string,,Left header pill,حبة الرأس الأيسر,
header_pill_right,string,,Right header pill,حبة الرأس الأيمن,
alignment_split,string,,Split,ينقسم,
alignment_center,string,,Center,مركز,
weather_cloudy,string,,Cloudy,غائم,
home_default_markdown_content,string,,# Markdown\nOpen this widget's settings in **edit mode** to write your own content.,# تخفيض السعر\nافتح إعدادات هذه الأداة في **وضع التحرير** لكتابة المحتوى الخاص بك.,\n = line break
home_settings_title,string,,Home settings,إعدادات المنزل,
custom_page_settings_title,string,,%1$s settings,%1$s الإعدادات,keep %1$s
home_empty,string,,This is the homepage. Add widgets by swiping down on the header and enabling edit mode.,هذه هي الصفحة الرئيسية. أضف عناصر واجهة المستخدم عن طريق التمرير لأسفل على رأس الصفحة وتمكين وضع التحرير.,
custom_page_empty,string,,This page is empty. Add widgets by swiping down on the header and enabling edit mode.,هذه الصفحة فارغة. أضف عناصر واجهة المستخدم عن طريق التمرير لأسفل على رأس الصفحة وتمكين وضع التحرير.,
select_camera_title,string,,Select camera,حدد الكاميرا,
select_entity_title,string,,Select entity,حدد الكيان,
custom_camera_default_name,string,,Custom camera,كاميرا مخصصة,
rooms_settings_title,string,,Rooms settings,إعدادات الغرف,
rooms_empty,string,,The rooms view is empty. Swipe down on the header and enable edit mode to add floors and rooms.,منظر الغرف فارغ. اسحب لأسفل على رأس الصفحة وقم بتمكين وضع التحرير لإضافة طوابق وغرف.,
floor_expand,string,,Expand floor,قم بتوسيع الأرضية,
floor_collapse,string,,Collapse floor,انهيار الكلمة,
floor_settings_title,string,,Floor,أرضية,
floor_settings_subtitle,string,,"Identity, layout, and card style",الهوية والتخطيط ونمط البطاقة,
universal_cover_status,string,,%1$d%% · %2$s,%1$d%% · %2$s,keep %1$d %2$s
universal_effects,string,,Effects,التأثيرات,
universal_open_door,string,,Open door,افتح الباب,
universal_vacuum_dock,string,,Dock,قفص الاتهام,
universal_start,string,,Start,يبدأ,
universal_pause,string,,Pause,يوقف,
universal_stop,string,,Stop,قف,
universal_locate,string,,Locate,تحديد موقع,
universal_room_number,string,,Room %1$d,غرفة %1$d,keep %1$d
core_optional_display_name,string,,Optional display name override,تجاوز اسم العرض الاختياري,
core_media_paused_track,string,,Paused: %1$s,متوقف مؤقتًا: %1$s,keep %1$s
core_percent_value,string,,%1$d percent,%1$d بالمائة,keep %1$d
core_current_humidity,string,,Current humidity,الرطوبة الحالية,
core_tank_water_level,string,,Tank / water level,مستوى الخزان/المياه,
core_pm25,string,,PM2.5,PM2.5,
core_error_code,string,,Error code,رمز الخطأ,
core_bucket_full,string,,Bucket full,دلو ممتلئ,
core_clean_filter,string,,Clean filter,مرشح نظيف,
core_ionizer,string,,Ionizer,المؤين,
core_pump,string,,Pump,مضخة,
core_beep_on_command,string,,Beep on command,صافرة عند القيادة,
core_dawn,string,,Dawn,فَجر,
core_solar_noon,string,,Solar noon,الظهيرة الشمسية,
core_dusk,string,,Dusk,الغسق,
core_icon_category_common,string,,Common,شائع,
core_icon_category_home,string,,Home,بيت,
core_icon_category_weather,string,,Weather,طقس,
core_icon_category_lock,string,,Lock,قفل,
core_icon_category_people,string,,People,الناس,
core_icon_category_auto,string,,Automotive,السيارات,
core_icon_category_music,string,,Music,موسيقى,
core_icon_category_battery,string,,Battery,بطارية,
core_icon_category_nature,string,,Nature,طبيعة,
core_icon_category_places,string,,Places,الأماكن,
core_icon_category_food,string,,Food,طعام,
core_icon_category_navigation,string,,Navigation,ملاحة,
core_icon_category_devices,string,,Devices,الأجهزة,
core_icon_category_map,string,,Map,رسم خريطة,
core_icon_category_media,string,,Media,وسائط,
core_icon_category_communication,string,,Communication,تواصل,
core_icon_category_health,string,,Health,صحة,
core_icon_category_vehicles,string,,Vehicles,المركبات,
core_icon_category_buildings,string,,Buildings,المباني,
core_icon_category_electrical,string,,Electrical,كهربائي,
core_icon_category_sport,string,,Sport,رياضة,
core_icon_category_objects,string,,Objects,أشياء,
core_icon_category_commerce,string,,Commerce,تجارة,
core_icon_category_games,string,,Games,ألعاب,
core_icon_category_finance,string,,Finance,تمويل,
background_notification_channel_general,string,,General,عام,
background_location_channel_name,string,,Location sharing,مشاركة الموقع,
background_location_channel_description,string,,Keeps your device location up to date in Home Assistant,يحافظ على تحديث موقع جهازك في Home Assistant,don't translate Home Assistant
background_location_notification_title,string,,Home Assistant location sharing,Home Assistant مشاركة الموقع,don't translate Home Assistant
background_location_notification_text,string,,Sharing your location with Home Assistant,مشاركة موقعك مع Home Assistant,don't translate Home Assistant
background_push_channel_name,string,,Notification connection,اتصال الإخطار,
background_push_channel_description,string,,Keeps a background connection to Home Assistant for instant notifications,يحافظ على اتصال الخلفية بـ Home Assistant للحصول على إشعارات فورية,don't translate Home Assistant
background_push_notification_title,string,,Connected to Home Assistant,متصل بـ Home Assistant,don't translate Home Assistant
background_push_notification_text,string,,Waiting for notifications,في انتظار الإخطارات,
background_push_hide_action,string,,Hide this notification,إخفاء هذا الإخطار,
button_style_centered,string,,Centered,توسيط,
button_elements,string,,Elements,عناصر,
button_elements_description,string,,What appears on this button. Hide the name and state for an icon on its own.,ما يظهر على هذا الزر. إخفاء الاسم والحالة للأيقونة من تلقاء نفسها.,
stack_elements_title,string,,Elements on every button in this stack,العناصر الموجودة في كل زر في هذه المكدس,
stack_elements_description,string,,"These apply to the whole stack, not to one button. Turning something off here hides it on every button in the stack; leaving it on lets each button decide for itself in its own settings.",تنطبق هذه على المكدس بأكمله، وليس على زر واحد. يؤدي إيقاف تشغيل شيء ما هنا إلى إخفاءه على كل زر في المكدس؛ تركه قيد التشغيل يتيح لكل زر أن يقرر بنفسه في إعداداته الخاصة.,
button_element_icon,string,,Icon,رمز,
button_element_name,string,,Name,اسم,
button_element_state,string,,State,ولاية,
stack_show_title,string,,Show name,إظهار الاسم,
stack_show_title_description,string,,Turn off for a stack with no heading at all.,قم بإيقاف تشغيله للحصول على مكدس بدون عنوان على الإطلاق.,
stack_show_icon,string,,Show icon,إظهار الأيقونة,
stack_show_icon_description,string,,The icon beside the heading.,الأيقونة بجانب العنوان.,
stack_center_title,string,,Center the heading,توسيط العنوان,
stack_center_title_description,string,,Puts the icon and name in the middle instead of against the left edge.,يضع الأيقونة والاسم في المنتصف بدلاً من الحافة اليسرى.,
cr_state_on,string,,On,على,
cr_state_off,string,,Off,عن,
cr_open,string,,Open,يفتح,
cr_close,string,,Close,يغلق,
cr_stop,string,,Stop,قف,
cr_closed,string,,Closed,مغلق,
cr_opening,string,,Opening,افتتاح,
cr_closing,string,,Closing,إغلاق,
cr_locked,string,,Locked,مغلق,
cr_unlocked,string,,Unlocked,مفتوح,
cr_unavailable,string,,Unavailable,غير متاح,
cr_unknown,string,,Unknown,مجهول,
cr_idle,string,,Idle,عاطل,
cr_home,string,,Home,بيت,
cr_away,string,,Away,بعيد,
cr_cleaning,string,,Cleaning,تنظيف,
cr_returning,string,,Returning,العودة,
cr_paused,string,,Paused,متوقف مؤقتًا,
cr_error,string,,Error,خطأ,
cr_playing,string,,Playing,اللعب,
cr_buffering,string,,Buffering,التخزين المؤقت,
cr_standby,string,,Standby,تعليق,
cr_humidifying,string,,Humidifying,الترطيب,
cr_drying,string,,Drying,تجفيف,
cr_detected,string,,Detected,مُكتَشَف,
cr_clear,string,,Clear,واضح,
cr_problem,string,,Problem,مشكلة,
cr_ok,string,,OK,نعم,
cr_low,string,,Low,قليل,
cr_normal,string,,Normal,طبيعي,
cr_connected,string,,Connected,متصل,
cr_disconnected,string,,Disconnected,غير متصل,
cr_plugged_in,string,,Plugged in,موصول,
cr_unplugged,string,,Unplugged,موصول,
cr_wet,string,,Wet,مبتل,
cr_dry,string,,Dry,جاف,
cr_none,string,,None,لا أحد,
cr_any,string,,Any,أي,
cr_remove,string,,Remove,يزيل,
cr_restore,string,,Restore,يعيد,
cr_general,string,,General,عام,
cr_identity,string,,Identity,هوية,
cr_appearance,string,,Appearance,مظهر,
cr_layout,string,,Layout,تَخطِيط,
cr_behavior,string,,Behavior,سلوك,
cr_profiles,string,,Profiles,الملفات الشخصية,
cr_playback,string,,Playback,التشغيل,
cr_content,string,,Content,محتوى,
cr_actions,string,,Actions,الإجراءات,
cr_protection,string,,Protection,حماية,
cr_power,string,,Power,قوة,
cr_brightness,string,,Brightness,سطوع,
cr_temperature,string,,Temperature,درجة حرارة,
cr_color,string,,Color,لون,
cr_min,string,,Min,دقيقة,
cr_avg,string,,Avg,متوسط,
cr_max,string,,Max,الأعلى,
cr_now,string,,Now,الآن,
cr_lowest,string,,Lowest,أدنى,
cr_average,string,,Average,متوسط,
cr_highest,string,,Highest,الأعلى,
cr_live,string,,Live,يعيش,
cr_once,string,,Once,مرة واحدة,
cr_daily,string,,Daily,يوميًا,
